cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Assertion Roulette,Eager Test,Conditional Test Logic,Verbose Test
29,22,3,52,19,0.0,0.0,7,1,2,1,0,4,7,1,0,0,4,0,1,0,0,3,0,0,16,177,4,4,0,3,0,19,10,19,4,22,3,0,2,0,122,1025,0,0,0,0,0
1,12,1,6,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,34,0,5,0,0,0,0,0,1,0,1,1,0,0,0,17,1,0,1,1,0,0
8,25,2,36,12,0.0,0.0,9,3,9,0,0,0,9,0,0,0,3,0,3,0,0,0,3,0,11,102,7,5,3,4,2,8,3,16,6,14,5,0,1,0,62,1,0,1,0,0,0
23,42,1,75,49,0.0,0.0,14,6,11,3,0,0,11,0,0,1,18,3,15,3,0,0,15,0,28,205,14,4,14,2,3,38,11,50,4,50,3,0,0,2,124,1,0,1,0,0,0
9,39,2,47,66,0.0,0.0,12,12,2,4,0,6,8,0,0,0,0,0,0,0,0,0,0,0,25,147,20,5,13,1,1,36,25,18,8,15,4,1,1,3,88,0,0,1,0,0,0
4,8,3,7,4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,2,0,1,38,4,0,0,0,1,12,0,3,0,3,1,0,1,0,23,0,0,1,1,0,0
2,7,2,3,3,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,26,4,0,0,0,3,0,2,4,7,4,1,0,0,0,22,1,0,1,1,1,0
12,16,1,35,3,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,55,2,5,1,1,1,9,7,13,6,13,4,0,0,0,101,1,0,1,0,0,0
40,67,1,125,51,0.0,0.0,14,6,8,6,0,0,9,0,0,0,14,8,0,8,0,6,6,0,53,348,12,5,19,5,7,97,40,89,14,92,8,0,1,9,216,1,0,1,0,0,0
17,27,1,42,1,,,2,2,1,1,0,0,1,0,0,0,6,6,1,5,0,0,6,0,22,153,1,4,5,3,3,16,11,24,7,22,4,0,1,0,88,1,0,1,0,0,0
11,10,1,21,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,52,0,1,3,1,0,13,12,9,3,8,4,0,0,0,76,1,0,1,0,0,0
137,19,2,44,16,0.0,0.0,8,4,5,1,2,0,8,0,0,0,3,1,0,3,0,0,3,0,5,187,4,2,1,4,0,16,4,20,2,17,3,0,3,0,105,1,0,1,0,1,0
9,5,1,8,10,0.0,0.0,5,4,2,2,0,1,3,0,0,0,43,25,43,0,0,0,43,0,5,416,2,0,0,0,0,101,1,47,2,47,0,0,1,0,148,1,0,1,1,0,0
5,25,1,30,8,,,5,5,1,4,0,0,1,0,0,0,3,3,0,3,0,0,3,0,6,503,16,4,3,1,0,33,7,21,3,18,4,0,7,1,99,1,0,1,0,0,1
1,1,1,2,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
11,9,1,24,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,107,0,2,2,1,0,9,7,10,5,10,3,0,1,0,139,1,0,1,0,0,0
19,10,4,22,3,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,181,2,0,1,3,0,2,1,9,0,7,2,1,3,0,45,1,0,1,0,1,0
10,14,1,17,3,,,3,3,1,2,0,0,1,0,0,0,7,7,0,7,0,0,7,0,9,145,4,2,3,1,0,10,2,11,0,13,2,0,1,1,102,1,0,1,0,0,1
21,15,1,38,0,,,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,4,0,15,131,0,2,2,3,0,9,3,15,1,15,4,0,1,0,60,1,0,1,0,0,0
17,11,1,39,13,0.0,0.0,6,6,2,4,0,0,2,0,0,0,6,6,0,6,0,0,6,0,22,78,4,1,1,2,1,29,6,25,3,18,2,0,0,0,100,1,1,1,0,1,0
20,15,1,36,1,,,2,2,1,1,0,0,1,0,0,0,9,9,0,9,0,0,9,0,14,152,1,2,2,4,0,19,7,24,3,24,4,0,1,1,80,1,0,1,0,0,0
4,10,1,17,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,39,0,1,1,0,1,12,12,6,1,5,2,0,0,0,85,1,0,1,0,0,0
30,16,1,60,0,0.0,0.0,2,2,1,1,0,0,3,0,0,0,8,8,0,8,0,0,7,0,21,108,0,0,3,3,2,27,10,30,4,34,5,0,0,5,123,1,0,1,0,1,0
6,8,1,19,1,0.0,0.0,2,2,1,0,0,1,2,0,0,0,5,5,0,5,0,0,5,0,4,134,0,3,0,1,0,5,2,12,0,10,3,0,2,1,67,1,0,1,0,0,0
27,36,1,62,1,,,2,2,1,1,0,0,1,0,0,0,10,10,1,9,0,0,10,0,28,221,0,7,4,5,3,24,9,35,5,33,6,0,1,1,208,1,0,1,0,0,1
14,23,2,52,0,,,3,0,1,2,0,0,1,0,0,0,6,0,0,6,0,0,0,0,4,98,0,5,1,2,1,41,4,46,2,36,3,0,0,0,98,1,0,1,0,0,0
6,1,2,9,0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,10,0,2,0,2,0,0,0,0,24,1,0,1,0,0,0
6,4,2,5,0,,,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,17,0,1,0,1,0,9,1,4,0,4,2,0,0,0,48,1,0,1,0,1,1
2,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0
5,5,2,10,0,,,1,0,1,0,0,0,1,0,0,0,9,0,0,9,0,0,0,0,1,29,0,1,0,0,0,39,5,16,0,12,2,0,0,0,83,1,0,1,0,1,1
12,19,2,45,0,,,2,0,1,1,0,0,1,0,0,0,6,0,0,6,0,0,0,0,4,82,1,4,1,2,0,41,2,35,3,27,4,0,0,0,102,1,0,1,0,0,1
5,4,2,4,0,,,1,0,1,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,23,0,1,0,1,0,24,1,8,0,8,2,0,0,0,72,1,0,1,0,1,1
6,8,3,7,0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,1,0,0,286,0,0,2,0,0,5,2,1,0,2,1,0,1,0,135,1,0,0,0,0,0
5,8,2,11,0,,,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,22,0,0,0,1,0,21,0,4,0,4,1,0,0,0,46,1,0,1,0,0,0
8,19,2,17,0,,,2,0,1,1,0,0,1,0,0,0,19,1,1,18,0,0,1,0,8,74,4,1,1,1,2,81,1,25,2,23,3,0,0,0,166,1,0,0,0,1,0
5,5,2,6,0,,,1,0,1,0,0,0,1,0,0,0,7,0,0,7,0,0,0,0,1,26,0,1,0,1,0,30,1,10,0,10,2,0,0,0,77,1,0,1,0,1,1
3,92,1,14,0,0.0,0.0,5,0,3,2,0,0,3,0,0,0,4,1,1,3,0,0,4,0,32,163,21,0,9,0,7,75,23,46,25,10,5,0,0,0,71,1,0,0,0,0,1
6,4,2,0,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,4,0,0,0,0,2,0,0,0,0,2,0,2,0,72,1,0,0,1,0,0
3,16,1,11,0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,2,0,5,76,1,3,2,0,0,3,6,10,2,7,3,0,1,0,24,1,0,1,1,0,0
4,2,2,1,0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,1,0,5,0,1,0,1,1,0,0,0,31,1,0,1,0,1,1
10,49,2,37,175,0.0,0.0,27,6,14,10,0,3,17,0,0,0,22,14,9,13,0,0,21,0,26,342,15,8,5,1,18,5,55,55,35,44,3,0,2,0,345,1,0,1,1,1,1
36,55,1,88,190,0.0,0.0,28,4,4,10,14,0,18,0,0,0,104,11,98,6,0,0,104,0,6,813,28,8,8,0,2,113,11,144,4,135,5,35,8,17,457,1,0,1,0,1,0
6,4,1,6,0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,16,7,16,0,0,0,16,0,15,52,2,0,0,0,0,10,0,16,1,16,0,0,0,0,93,1,0,1,0,0,1
9,8,1,6,15,0.0,0.0,6,0,5,0,1,0,7,5,0,0,2,1,0,0,0,2,1,0,1,32,0,0,0,0,0,2,3,2,0,4,1,0,2,2,38,1025,0,1,1,1,1
4,1,1,2,0,,,1,0,1,0,0,0,1,0,0,0,4,1,3,1,0,0,4,0,0,11,0,0,0,0,0,4,0,4,0,4,0,0,0,0,13,1,0,0,0,0,0
13,11,1,21,0,0.0,0.0,10,0,2,4,4,0,6,0,0,0,50,0,48,2,0,0,48,0,0,173,7,1,0,0,0,47,0,51,0,73,1,2,1,29,292,1,0,1,0,0,0
10,5,1,20,1,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,2,0,4,0,0,4,0,2,39,0,1,1,0,0,3,1,5,1,6,2,0,1,1,48,1,1,1,1,1,0
7,2,1,5,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,5,0,0,0,5,0,0,20,0,0,0,0,0,9,0,7,0,7,0,0,0,0,58,1,0,1,0,1,1
8,4,1,8,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,10,7,9,1,0,0,10,0,5,31,1,0,2,0,0,10,0,14,0,12,3,0,0,0,41,1,0,1,0,1,1
