ProductionFileName,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,TestFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,org.jkiss.utils.BeanUtils,3,101,1,46,229,0.0,0.0,22,22,20,2,0,0,20,0,0,0,7,7,7,0,0,0,7,0,25,244,48,5,28,4,10,24,39,37,13,30,4,0,0,0,107,1,0,dbeaver,BeanUtilsTest,67,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,3
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,org.jkiss.utils.CommonUtils,6,266,1,105,3568,0.0,0.0,85,85,85,0,0,0,85,0,0,0,2,2,1,0,1,0,2,0,78,729,158,20,88,12,17,47,83,69,31,53,3,0,0,0,229,1,0,dbeaver,CommonUtilsTest,198,3,0,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0,0,0,7
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/ArrayUtils.java,org.jkiss.utils.ArrayUtils,11,68,1,16,253,0.0,0.0,23,23,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,29,153,41,14,22,0,0,5,40,25,15,22,3,0,0,0,55,1,0,dbeaver,ArrayUtilsTest,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/ByteNumberFormat.java,org.jkiss.utils.ByteNumberFormat,2,15,3,7,17,0.0,0.0,7,1,7,0,0,0,7,0,0,0,4,3,1,3,0,0,3,0,4,67,6,2,2,0,2,1,13,17,3,12,3,0,1,0,93,1,0,dbeaver,ByteNumberFormatTest,34,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/SecurityUtils.java,org.jkiss.utils.SecurityUtils,4,20,1,26,0,0.0,0.0,9,9,9,0,0,0,10,0,0,0,5,5,3,2,0,0,2,0,15,119,11,2,1,4,1,11,19,31,1,26,2,0,0,0,89,1,0,dbeaver,SecurityUtilsTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/io/BOMInputStream.java,org.jkiss.utils.io.BOMInputStream,5,27,2,16,13,0.0,0.0,11,0,9,2,0,0,9,0,0,2,9,1,0,9,0,0,3,0,3,90,8,3,7,0,0,2,7,15,1,11,3,0,0,0,84,1,0,dbeaver,BOMInputStreamTest,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/MimeType.java,org.jkiss.utils.MimeType,1,17,1,11,5,0.0,0.0,10,0,9,1,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,56,6,0,0,0,8,8,11,14,3,4,1,0,0,0,26,1,0,dbeaver,MimeTypeTest,9,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/DBUtils.java,org.jkiss.dbeaver.model.DBUtils,108,573,1,305,8124,0.0,0.0,129,129,128,1,0,0,128,0,0,0,2,2,0,2,0,0,2,0,175,1638,241,49,178,13,80,50,59,269,30,209,6,1,0,4,467,17,19,dbeaver,DBUtilsTest,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformer.java,org.jkiss.dbeaver.model.impl.data.transformers.EpochTimeAttributeTransformer,11,2,2,8,0,,,1,0,1,0,0,0,1,0,0,0,3,3,0,1,0,2,3,0,4,98,0,0,0,1,0,4,1,5,0,4,1,0,2,0,59,1,1,dbeaver,EpochTimeAttributeTransformerTest,22,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.ext.greenplum/src/org/jkiss/dbeaver/ext/greenplum/model/GreenplumTable.java,org.jkiss.dbeaver.ext.greenplum.model.GreenplumTable,25,40,7,40,20,0.0,0.0,8,0,3,5,0,0,3,0,0,0,3,1,0,3,0,0,1,0,15,155,12,4,8,12,2,21,13,27,5,22,5,0,0,0,86,1,3,dbeaver,GreenplumTableTest,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
