ProductionFileName,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,TestFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/chunk/NDArrayMessageChunk.java,org.nd4j.aeron.ipc.chunk.NDArrayMessageChunk,5,3,1,26,3,0.0,0.0,3,3,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,3,39,3,0,0,0,0,0,5,14,1,20,0,0,0,0,73,1,0,deeplearning4j,NDArrayMessageChunkTests,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/AeronNDArraySerde.java,org.nd4j.aeron.ipc.AeronNDArraySerde,6,6,2,10,10,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,17,5,0,1,0,0,0,1,0,0,0,0,0,0,0,54,1,0,deeplearning4j,AeronNDArraySerdeTest,7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/NDArrayMessage.java,org.nd4j.aeron.ipc.NDArrayMessage,17,30,1,61,41,0.0,0.0,11,11,11,0,0,0,11,0,0,0,8,2,0,8,0,0,0,0,22,123,13,5,8,0,2,2,30,48,13,47,2,0,2,0,224,1,0,deeplearning4j,NDArrayMessageTest,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-arrow/src/main/java/org/nd4j/arrow/ArrowSerde.java,org.nd4j.arrow.ArrowSerde,13,22,1,43,21,0.0,0.0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,95,9,4,6,0,0,4,7,30,3,24,2,0,0,0,101,1,0,deeplearning4j,ArrowSerdeTest,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/samediff-import/samediff-import-tensorflow/src/test/java/org/nd4j/imports/tfgraphs/NodeReader.java,org.nd4j.imports.tfgraphs.NodeReader,7,7,1,7,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,37,1,2,0,4,0,12,2,14,4,7,2,0,0,0,25,1,0,deeplearning4j,NodeReaderTests,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/PropertyParser.java,org.nd4j.common.tools.PropertyParser,1,34,1,21,270,0.0,0.0,24,0,24,0,0,0,24,0,0,0,1,0,0,1,0,0,0,0,6,114,27,0,5,5,0,2,6,7,1,6,1,0,0,0,36,1,0,deeplearning4j,PropertyParserTest,163,21,0,0,0,0,0,44,0,2,0,0,0,21,0,0,25,30,1,21,8
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/SIS.java,org.nd4j.common.tools.SIS,2,32,1,25,0,0.0,0.0,12,0,6,6,0,0,6,0,0,0,12,0,0,12,0,0,0,0,27,223,9,0,0,5,0,125,5,49,33,29,2,0,0,0,109,1,0,deeplearning4j,SISTest,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/InfoValues.java,org.nd4j.common.tools.InfoValues,0,5,1,4,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,18,1,2,0,0,0,3,10,8,5,6,1,0,0,0,22,1,0,deeplearning4j,InfoValuesTest,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/InfoLine.java,org.nd4j.common.tools.InfoLine,2,8,1,8,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,5,40,4,2,0,0,1,11,7,24,2,10,1,0,0,0,35,1,0,deeplearning4j,InfoLineTest,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/BTools.java,org.nd4j.common.tools.BTools,3,39,1,20,91,0.0,0.0,14,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,116,24,5,6,0,2,37,21,43,9,25,3,0,0,0,125,1,0,deeplearning4j,BToolsTest,49,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/Counter.java,org.nd4j.common.primitives.Counter,6,47,1,40,16,0.0,0.0,25,0,24,0,1,0,25,0,0,0,4,1,0,1,3,0,1,0,4,162,20,10,7,0,1,1,12,25,2,23,2,0,2,0,134,1,0,deeplearning4j,CounterTest,22,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,4
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/Atomic.java,org.nd4j.common.primitives.Atomic,3,12,1,10,0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,0,0,3,68,7,0,3,5,0,0,0,6,0,3,2,0,0,0,43,1,0,deeplearning4j,AtomicTest,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/CounterMap.java,org.nd4j.common.primitives.CounterMap,8,27,1,24,0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,2,1,0,1,1,0,1,0,0,113,13,4,6,0,0,0,3,20,0,15,2,1,0,0,74,1,0,deeplearning4j,CounterMapTest,18,2,0,0,0,0,0,17,0,0,0,0,0,1,0,0,5,0,0,0,1
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/base/Preconditions.java,org.nd4j.common.base.Preconditions,11,160,1,32,2278,0.0,0.0,68,67,65,3,0,0,66,0,0,0,1,1,0,1,0,0,1,0,74,430,15,5,23,0,2,8,11,23,3,16,5,0,0,0,82,17,0,deeplearning4j,TestPreconditions,34,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,34,0,0,2
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/base/Preconditions.java,org.nd4j.common.base.Preconditions,11,160,1,32,2278,0.0,0.0,68,67,65,3,0,0,66,0,0,0,1,1,0,1,0,0,1,0,74,430,15,5,23,0,2,8,11,23,3,16,5,0,0,0,82,17,0,deeplearning4j,PreconditionsTest,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/SerializationUtils.java,org.nd4j.common.util.SerializationUtils,3,15,1,12,45,0.0,0.0,10,9,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,4,73,6,0,0,5,0,2,0,10,0,10,1,0,0,0,57,1,0,deeplearning4j,SerializationUtilsTest,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/OneTimeLogger.java,org.nd4j.common.util.OneTimeLogger,3,10,1,17,8,0.0,0.0,5,5,4,0,1,0,5,0,0,0,3,3,0,1,2,0,2,0,3,42,5,0,0,2,0,0,1,4,0,4,2,0,0,0,23,1,3,deeplearning4j,OneTimeLoggerTest,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArchiveUtils.java,org.nd4j.common.util.ArchiveUtils,8,33,1,45,36,0.0,0.0,9,8,7,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,5,142,4,7,5,8,5,18,6,43,7,39,5,0,0,0,142,1,3,deeplearning4j,TestArchiveUtils,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArrayUtil.java,org.nd4j.common.util.ArrayUtil,15,854,1,117,34453,0.0,0.0,263,262,261,1,1,0,262,0,0,0,0,0,0,0,0,0,0,0,139,2188,345,351,121,0,39,42,1118,973,153,710,4,2,0,0,501,1,0,deeplearning4j,ArrayUtilTest,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
