ProductionFileName,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,TestFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/hutool/hutool-bloomFilter/src/main/java/cn/hutool/bloomfilter/BitMapBloomFilter.java,cn.hutool.bloomfilter.BitMapBloomFilter,7,7,1,5,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,3,28,3,2,1,0,0,0,5,7,1,5,2,0,0,0,33,1,0,hutool,BitMapBloomFilterTest,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/NamedSql.java,cn.hutool.db.sql.NamedSql,6,23,1,18,7,0.0,0.0,7,1,4,3,0,0,4,0,0,0,3,1,0,3,0,0,2,0,5,74,6,1,4,0,3,0,2,14,0,11,3,0,0,0,47,1,0,hutool,NamedSqlTest,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/Condition.java,cn.hutool.db.sql.Condition,11,67,2,46,137,0.0,0.0,30,3,25,5,0,0,25,0,0,0,13,7,0,13,0,0,7,0,25,257,29,0,14,1,2,27,15,57,1,25,3,0,1,0,84,1,0,hutool,ConditionTest,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/SqlBuilder.java,cn.hutool.db.sql.SqlBuilder,17,86,1,63,398,0.0,0.0,40,4,38,2,0,0,38,0,0,0,5,1,0,5,0,0,4,0,31,292,39,3,16,0,2,33,5,24,0,15,3,0,1,0,116,1,0,hutool,SqlBuilderTest,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/ConditionBuilder.java,cn.hutool.db.sql.ConditionBuilder,5,10,1,11,0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,3,1,0,3,0,0,2,0,2,43,6,1,1,0,0,0,1,6,0,5,2,0,0,0,32,1,0,hutool,ConditionBuilderTest,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/dialect/DriverUtil.java,cn.hutool.db.dialect.DriverUtil,6,9,1,11,3,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,46,4,0,0,3,1,3,0,7,0,5,2,0,0,0,33,1,0,hutool,DriverUtilTest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Session.java,cn.hutool.db.Session,14,38,2,29,246,0.0,0.0,24,3,24,0,0,0,24,0,0,0,2,2,0,2,0,0,2,0,6,161,11,0,3,13,1,1,1,3,0,3,2,0,0,0,68,1,8,hutool,SessionTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Db.java,cn.hutool.db.Db,10,30,2,25,136,0.0,0.0,17,5,15,2,0,0,15,0,0,0,1,1,0,1,0,0,1,0,9,99,12,0,6,4,1,0,1,4,0,4,2,0,0,0,52,1,2,hutool,DbTest,12.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/meta/MetaUtil.java,cn.hutool.db.meta.MetaUtil,9,31,1,32,45,0.0,0.0,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,145,14,5,8,11,0,8,3,30,1,25,5,0,0,0,51,1,0,hutool,MetaUtilTest,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/PageResult.java,cn.hutool.db.PageResult,2,19,4,2,29,0.0,0.0,15,0,15,0,0,0,15,0,0,0,6,2,1,5,0,0,2,0,2,57,7,0,1,0,1,0,7,11,1,6,0,0,0,0,30,1,0,hutool,PageResultTest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
