ProductionFileName,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,TestFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/SchemaUtil.java,org.apache.iceberg.pig.SchemaUtil,10,31,1,30,28,0.0,0.0,8,7,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,108,22,3,1,0,0,4,2,13,3,13,1,0,0,0,32,1,0,iceberg,SchemaUtilTest,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergTimestampObjectInspectorHive3.java,org.apache.iceberg.mr.hive.serde.objectinspector.IcebergTimestampObjectInspectorHive3,6,12,2,12,15,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,2,46,10,0,4,0,2,0,0,7,0,7,1,0,0,0,29,1,0,iceberg,TestIcebergTimestampObjectInspectorHive3,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergDateObjectInspectorHive3.java,org.apache.iceberg.mr.hive.serde.objectinspector.IcebergDateObjectInspectorHive3,7,12,2,9,15,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,4,40,10,0,4,0,3,0,0,3,0,3,1,0,0,0,25,17,0,iceberg,TestIcebergDateObjectInspectorHive3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergTimestampWithZoneObjectInspectorHive3.java,org.apache.iceberg.mr.hive.serde.objectinspector.IcebergTimestampWithZoneObjectInspectorHive3,6,11,2,8,15,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,2,41,9,0,3,0,1,0,0,7,0,7,1,0,0,0,34,1,0,iceberg,TestIcebergTimestampWithZoneObjectInspectorHive3,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/ExpressionToSearchArgument.java,org.apache.iceberg.orc.ExpressionToSearchArgument,18,47,3,48,0,0.0,0.0,24,1,19,4,0,1,20,0,0,0,3,1,0,3,0,0,1,0,9,178,37,0,0,0,2,5,3,6,4,7,1,0,1,20,76,0,0,iceberg,TestExpressionToSearchArgument,11,3,0,0,0,0,0,0,1,0,0,0,22,6,0,0,2,1,0,0,3
/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/ORCSchemaUtil.java,org.apache.iceberg.orc.ORCSchemaUtil,23,60,1,98,106,0.0,0.0,16,15,5,6,0,5,10,0,0,0,6,6,2,1,0,3,6,0,35,257,17,4,5,0,1,16,6,66,2,43,3,0,3,2,167,17,0,iceberg,TestORCSchemaUtil,11,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/IdToOrcName.java,org.apache.iceberg.orc.IdToOrcName,9,16,2,18,18,0.0,0.0,16,0,14,2,0,0,14,0,0,0,3,1,0,3,0,0,3,0,0,60,7,0,0,0,0,11,0,5,1,5,0,0,0,0,69,0,0,iceberg,TestIdToOrcName,26,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/iceberg/nessie/src/main/java/org/apache/iceberg/nessie/TableReference.java,org.apache.iceberg.nessie.TableReference,2,12,1,11,1,0.0,0.0,6,2,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,6,44,6,0,0,0,0,13,4,7,2,7,1,0,0,0,40,1,0,iceberg,TestTableReference,36,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,4
/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/DataTableScan.java,org.apache.iceberg.DataTableScan,17,13,2,34,21,0.0,0.0,7,0,5,0,2,0,7,0,0,0,3,3,0,0,0,3,3,0,2,37,5,0,2,0,0,17,1,8,0,6,1,0,0,0,67,1,0,iceberg,TestDataTableScan,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,2,1,0,0
/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/PartitionSpecParser.java,org.apache.iceberg.PartitionSpecParser,12,21,1,49,41,0.0,0.0,11,10,5,2,0,4,9,0,0,0,7,7,0,7,0,0,7,0,18,111,8,2,2,4,0,11,2,20,1,21,2,0,0,1,58,1,0,iceberg,TestPartitionSpecParser,8,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,1,0,1
