ProductionFileName,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,TestFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/main/java/org/apache/shardingsphere/distsql/parser/api/DistSQLStatementParserEngine.java,org.apache.shardingsphere.distsql.parser.api.DistSQLStatementParserEngine,12,6,1,10,3,,,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,0,2,1,2,0,2,0,2,2,0,0,0,40,17,0,shardingsphere,DistSQLStatementParserEngineTest,48,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,1
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/lock/GovernanceLock.java,org.apache.shardingsphere.governance.core.lock.GovernanceLock,11,13,1,16,0,0.0,0.0,12,0,11,1,0,0,11,0,0,0,3,0,0,3,0,0,2,0,1,49,5,0,0,0,0,0,0,5,0,4,1,0,0,0,57,17,0,shardingsphere,GovernanceLockTest,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/lock/node/LockNode.java,org.apache.shardingsphere.governance.core.lock.node.LockNode,1,6,1,9,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,3,0,3,0,0,3,0,3,22,5,0,0,0,0,13,1,5,1,5,0,0,0,0,34,17,0,shardingsphere,LockNodeTest,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/utils/IpUtils.java,org.apache.shardingsphere.governance.core.utils.IpUtils,2,10,1,13,6,,,4,4,1,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,5,42,7,2,1,1,0,2,0,9,0,7,3,0,0,0,35,17,0,shardingsphere,IpUtilsTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/yaml/swapper/SchemaYamlSwapper.java,org.apache.shardingsphere.governance.core.yaml.swapper.SchemaYamlSwapper,10,16,1,63,78,0.0,0.0,13,0,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,56,13,0,2,0,0,0,0,5,0,18,0,0,0,9,33,17,0,shardingsphere,SchemaYamlSwapperTest,11,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/yaml/swapper/GovernanceConfigurationYamlSwapper.java,org.apache.shardingsphere.governance.core.yaml.swapper.GovernanceConfigurationYamlSwapper,5,2,1,8,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,0,0,3,0,3,0,0,0,0,18,17,0,shardingsphere,GovernanceConfigurationYamlSwapperTest,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/yaml/swapper/GovernanceCenterConfigurationYamlSwapper.java,org.apache.shardingsphere.governance.core.yaml.swapper.GovernanceCenterConfigurationYamlSwapper,3,2,1,6,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,18,17,0,shardingsphere,GovernanceCenterConfigurationYamlSwapperTest,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/registry/checker/RuleConfigurationCheckerFactory.java,org.apache.shardingsphere.governance.core.registry.checker.RuleConfigurationCheckerFactory,19,2,1,9,0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,16,1,0,0,0,0,0,0,1,0,2,0,0,0,1,29,17,0,shardingsphere,RuleConfigurationCheckerFactoryTest,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/registry/listener/metadata/SchemaChangedListener.java,org.apache.shardingsphere.governance.core.registry.listener.metadata.SchemaChangedListener,9,2,2,7,1,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,17,0,shardingsphere,SchemaChangedListenerTest,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/registry/listener/metadata/MetaDataChangedListener.java,org.apache.shardingsphere.governance.core.registry.listener.metadata.MetaDataChangedListener,8,7,2,16,0,0.0,0.0,4,0,1,2,1,0,2,0,0,0,2,0,0,2,0,0,2,0,4,32,5,0,0,0,0,0,0,6,0,6,2,0,0,0,26,17,0,shardingsphere,MetaDataChangedListenerTest,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-governance/shardingsphere-governance-core/src/main/java/org/apache/shardingsphere/governance/core/registry/listener/metadata/DataSourceChangedListener.java,org.apache.shardingsphere.governance.core.registry.listener.metadata.DataSourceChangedListener,10,9,2,21,8,0.0,0.0,5,0,1,3,1,0,2,0,0,0,1,0,0,1,0,0,1,0,6,24,5,0,0,0,0,0,0,3,0,6,1,0,0,2,26,17,0,shardingsphere,DataSourceChangedListenerTest,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
