App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
AndroidUtilCode,CoordinateUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java,94,12,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,1
AndroidUtilCode,TemperatureUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/TemperatureUtils.java,54,7,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AndroidUtilCode,LunarUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/LunarUtils.java,30,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AndroidUtilCode,CollectionUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/CollectionUtils.java,504,28,96,8,0,0,3,2,0,26,0,0,0,0,0,2,0,0,4,0,0,18,2
AndroidUtilCode,CacheMemoryStaticUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/CacheMemoryStaticUtils.java,89,8,17,3,0,2,0,0,0,7,5,0,0,0,0,0,0,0,1,0,0,0,2
AndroidUtilCode,ConvertUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ConvertUtils.java,142,14,14,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AndroidUtilCode,ImageUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ImageUtils.java,26,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndroidUtilCode,CacheDiskStaticUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/CacheDiskStaticUtils.java,366,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndroidUtilCode,RegexUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/RegexUtils.java,135,16,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AndroidUtilCode,StringUtilsTest,/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/StringUtils.java,100,12,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
