projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;gcj2BD09;31;31
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;bd092GCJ;39;39
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;bd092WGS;47;47
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;wgs2BD09;55;55
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;wgs2GCJ;63;63
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;gcj2WGS;71;71
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Magic Number Test;gcj2WGSExactly;79;79
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Lazy Test;gcj2WGSExactly, gcj2WGS;76, 68;76, 68
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Assertion Roulette;gcj2BD09;31-31;31-31
AndroidUtilCode;CoordinateUtilsTest;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/test/java/com/blankj/subutil/util/CoordinateUtilsTest.java;/home/luana-martins/.jnose_projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/CoordinateUtils.java;None;94;12;Assertion Roulette;bd092GCJ;39-39;39-39
