App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
ExoPlayer,FakeDataSetTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeDataSet.java,116,3,7,2,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,5
ExoPlayer,AdditionalFailureInfoTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/AdditionalFailureInfo.java,174,10,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2
ExoPlayer,FakeDataSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeDataSource.java,251,18,38,7,0,0,0,0,0,27,3,0,1,0,0,3,0,0,12,5,0,0,8
ExoPlayer,FakeAdaptiveDataSetTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeAdaptiveDataSet.java,137,8,15,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5
ExoPlayer,FakeClockTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeClock.java,212,12,15,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,9
ExoPlayer,SpannedSubjectTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java,997,99,67,51,0,0,36,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,63
ExoPlayer,WebServerDispatcherTest,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/WebServerDispatcher.java,581,43,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
ExoPlayer,OkHttpDataSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/okhttp/src/main/java/com/google/android/exoplayer2/ext/okhttp/OkHttpDataSource.java,141,3,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
ExoPlayer,ByteArrayUploadDataProviderTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/main/java/com/google/android/exoplayer2/ext/cronet/ByteArrayUploadDataProvider.java,90,9,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
ExoPlayer,CronetDataSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/main/java/com/google/android/exoplayer2/ext/cronet/CronetDataSource.java,1656,97,98,36,0,0,11,0,0,1,0,0,5,0,0,8,0,0,19,15,0,0,11
ExoPlayer,FlacExtractorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/extractor/flac/FlacExtractor.java,118,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,DefaultRenderersFactoryTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/DefaultRenderersFactory.java,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,ImaAdsLoaderTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/ima/src/main/java/com/google/android/exoplayer2/ext/ima/ImaAdsLoader.java,1462,79,32,15,0,0,15,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,22
ExoPlayer,DefaultRenderersFactoryTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/DefaultRenderersFactory.java,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,CastPlayerTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/CastPlayer.java,498,40,23,6,0,0,10,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,8
ExoPlayer,CastTimelineTrackerTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/CastTimelineTracker.java,132,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ExoPlayer,DefaultMediaItemConverterTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/media2/src/main/java/com/google/android/exoplayer2/ext/media2/DefaultMediaItemConverter.java,67,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ExoPlayer,CastTrackSelectionTest,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/CastTrackSelection.java,77,10,7,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
ExoPlayer,DefaultDataSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/DefaultDataSource.java,47,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ExoPlayer,DefaultRenderersFactoryTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/DefaultRenderersFactory.java,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
