file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/dropwizard/CodaHaleMetricsTrackerTest.java,com.zaxxer.hikari.metrics.dropwizard.CodaHaleMetricsTrackerTest,class,8,2,1,3,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,20,0,0,0,0,0,11,1,1,0,2,0,0,0,0,15,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/micrometer/MicrometerMetricsTrackerTest.java,com.zaxxer.hikari.metrics.micrometer.MicrometerMetricsTrackerTest,class,6,2,1,7,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,20,0,0,0,0,0,31,1,2,0,2,0,0,0,0,16,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerFactoryTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactoryTest$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerFactoryTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactoryTest,class,8,8,1,13,21,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,0,0,0,14,1,6,0,6,1,1,0,0,31,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTrackerFactoryTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTrackerFactoryTest,class,7,7,1,12,15,0.0,0.0,6,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,0,0,0,14,2,6,0,6,1,0,0,0,30,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTrackerTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTrackerTest,class,10,12,1,20,3,0.0,0.0,10,0,9,1,0,0,9,0,0,0,6,4,0,6,0,0,4,0,8,153,0,1,0,10,0,57,36,39,3,39,3,0,0,0,85,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerTest,class,8,9,1,13,8,0.0,0.0,8,0,7,1,0,0,7,0,0,0,4,2,0,4,0,0,2,0,6,92,0,0,0,8,0,21,15,27,2,27,3,0,0,0,67,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,0,0,0,0,0,0,9,-1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,class,14,10,1,23,0,0.0,0.0,9,0,7,2,0,0,7,0,0,0,1,0,0,1,0,0,0,0,4,141,2,0,1,7,0,86,45,29,0,20,2,1,0,1,58,1,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/datasource/TestSealedConfig.java,com.zaxxer.hikari.datasource.TestSealedConfig,class,4,4,1,14,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,6,0,11,7,10,0,10,2,0,0,0,28,1,0
