App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
JCSprout,BinaryNodeTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BinaryNode.java,19,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCSprout,ReverseNodeTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java,66,5,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
JCSprout,TwoStackQueueTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoStackQueue.java,36,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
JCSprout,LinkedListMergeSortTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java,164,10,23,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
JCSprout,LinkLoopTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkLoop.java,62,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JCSprout,BinaryNodeTravelTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BinaryNodeTravel.java,21,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
JCSprout,BloomFiltersTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BloomFilters.java,67,4,12,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,3,1
JCSprout,TwoSumTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoSum.java,25,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
JCSprout,MergeTwoSortedListsTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/MergeTwoSortedLists.java,93,5,2,3,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,3
JCSprout,HappyNumTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/HappyNum.java,28,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JCSprout,LRUMapTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/actual/LRUMap.java,139,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4
JCSprout,LRULinkedMapTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/actual/LRULinkedMap.java,65,3,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,3
JCSprout,RedPacketTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/red/RedPacket.java,47,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1
JCSprout,CustomThreadPoolTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/concurrent/CustomThreadPool.java,70,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JCSprout,ArrayQueueTest,/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/concurrent/ArrayQueue.java,232,9,0,8,0,0,8,0,0,0,13,0,0,0,0,3,0,0,0,6,0,11,4
