projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
JCSprout;BinaryNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/BinaryNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BinaryNode.java;JUnit4;19;1;Unknown Test;test1;7-17;7-17
JCSprout;BinaryNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/BinaryNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BinaryNode.java;JUnit4;19;1;Eager Test;test1;11, 15, 9;11, 15, 9
JCSprout;BinaryNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/BinaryNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/BinaryNode.java;JUnit4;19;1;Print Statement;test1;12;12
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Unknown Test;reverseNode1;8-17;8-17
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Unknown Test;reverseNode12;19-26;19-26
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Unknown Test;reverseNode13;28-35;28-35
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Unknown Test;reverseHead21;42-52;42-52
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Unknown Test;recNodeTest31;55-64;55-64
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Lazy Test;reverseNode13, reverseNode12, reverseNode1;34, 25, 16;34, 25, 16
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Lazy Test;recNodeTest31, reverseHead21, reverseNode12, reverseNode1;60, 47, 22, 13;60, 47, 22, 13
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Eager Test;reverseNode1;13, 16;13, 16
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Eager Test;reverseNode12;22, 25;22, 25
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Eager Test;reverseHead21;47, 50;47, 50
JCSprout;ReverseNodeTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/ReverseNode.java;None;66;5;Eager Test;recNodeTest31;60, 63;60, 63
JCSprout;TwoStackQueueTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoStackQueueTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoStackQueue.java;None;36;2;Unknown Test;queue;9-34;9-34
JCSprout;TwoStackQueueTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoStackQueueTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoStackQueue.java;None;36;2;Eager Test;queue;12, 13, 14, 15, 16, 19, 22, 27, 29, 32;12, 13, 14, 15, 16, 19, 22, 27, 29, 32
JCSprout;TwoStackQueueTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoStackQueueTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoStackQueue.java;None;36;2;Conditional Test Logic;queue;21-23;21-23
JCSprout;TwoStackQueueTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoStackQueueTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/TwoStackQueue.java;None;36;2;Conditional Test Logic;queue;31-33;31-33
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Unknown Test;constructorOutputVoid;13-20;13-20
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Unknown Test;mainInput0OutputVoid;152-162;152-162
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Magic Number Test;mergeListNotNull;36;36
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Magic Number Test;mergeListInputNotNullNotNullOutputNotNull2;57;57
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Magic Number Test;mergeListInputLeftNull;97;97
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Magic Number Test;mergeSortLength2;132;132
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Lazy Test;mergeListInputNull, mergeListInputLeftNull, mergeListInputRightNull, mergeListInputNotNullNotNullOutputNotNull2, mergeListNotNull;111, 93, 74, 52, 32;111, 93, 74, 52, 32
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Lazy Test;mergeSortInputNull, mergeSortLength2;147, 128;147, 128
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Assertion Roulette;mergeListNotNull;35-35;35-35
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Assertion Roulette;mergeListNotNull;36-36;36-36
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Assertion Roulette;mergeListNotNull;37-37;37-37
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Assertion Roulette;mergeListNotNull;38-38;38-38
JCSprout;LinkedListMergeSortTest;/home/luana-martins/.jnose_projects/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkedListMergeSortTest.java;/home/luana-martins/.jnose_projects/JCSprout/src/main/java/com/crossoverjie/algorithm/LinkedListMergeSort.java;JUnit4;164;10;Assertion Roulette;mergeListNotNull;39-39;39-39
