App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
Sentinel,ParamFlowSlotTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowSlot.java,136,6,7,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1
Sentinel,ParameterMetricTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetric.java,187,6,22,2,0,0,1,0,0,10,9,0,0,1,0,2,0,0,3,0,0,0,2
Sentinel,ParameterMetricStorageTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetricStorage.java,72,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sentinel,ParamFlowRuleUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleUtil.java,95,3,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,ParamFlowCheckerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowChecker.java,233,8,17,1,0,0,0,0,0,18,0,0,0,0,0,3,0,0,1,0,0,0,4
Sentinel,ParamFlowRuleManagerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleManager.java,155,6,22,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2
Sentinel,ParamMapBucketTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/statistic/data/ParamMapBucket.java,77,2,15,2,0,0,0,0,0,15,1,0,0,0,0,1,0,0,1,0,0,0,3
Sentinel,EtcdDataSourceTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-etcd/src/main/java/com/alibaba/csp/sentinel/datasource/etcd/EtcdDataSource.java,123,5,8,1,0,2,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0
Sentinel,EurekaDataSourceTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-eureka/src/main/java/com/alibaba/csp/sentinel/datasource/eureka/EurekaDataSource.java,86,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,ConsulDataSourceTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-consul/src/main/java/com/alibaba/csp/sentinel/datasource/consul/ConsulDataSource.java,109,12,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sentinel,AbstractSentinelInterceptorSupportTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-cdi-interceptor/src/main/java/com/alibaba/csp/sentinel/annotation/cdi/interceptor/AbstractSentinelInterceptorSupport.java,39,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,ResourceMetadataRegistryTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-aspectj/src/main/java/com/alibaba/csp/sentinel/annotation/aspectj/ResourceMetadataRegistry.java,86,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,MethodWrapperTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-aspectj/src/main/java/com/alibaba/csp/sentinel/annotation/aspectj/MethodWrapper.java,44,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sentinel,SentinelRuleLocatorTests,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-spring-cloud-config/src/main/java/com/alibaba/csp/sentinel/datasource/spring/cloud/config/SentinelRuleLocator.java,71,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,ZookeeperDataSourceTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-zookeeper/src/main/java/com/alibaba/csp/sentinel/datasource/zookeeper/ZookeeperDataSource.java,224,4,2,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1
Sentinel,ResourceMetadataRegistryTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-aspectj/src/main/java/com/alibaba/csp/sentinel/annotation/aspectj/ResourceMetadataRegistry.java,85,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,MethodWrapperTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-aspectj/src/main/java/com/alibaba/csp/sentinel/annotation/aspectj/MethodWrapper.java,43,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sentinel,AbstractSentinelAspectSupportTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-annotation-aspectj/src/main/java/com/alibaba/csp/sentinel/annotation/aspectj/AbstractSentinelAspectSupport.java,39,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,RedisConnectionConfigTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-redis/src/main/java/com/alibaba/csp/sentinel/datasource/redis/config/RedisConnectionConfig.java,136,9,19,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12
Sentinel,MetricExitCallbackTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/metric/extension/callback/MetricExitCallback.java,98,2,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,MetricEntryCallbackTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/metric/extension/callback/MetricEntryCallback.java,75,2,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,RecordLogTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/log/RecordLog.java,120,8,7,1,2,0,3,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,1
Sentinel,SphUTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/SphU.java,160,11,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,SphOTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/SphO.java,171,10,18,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,2
Sentinel,ConsoleHandlerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/log/jul/ConsoleHandler.java,84,1,8,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,0,0,0,0
Sentinel,DegradeRuleManagerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/degrade/DegradeRuleManager.java,104,4,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sentinel,DegradeRuleTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/degrade/DegradeRule.java,51,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,ExceptionCircuitBreakerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/degrade/circuitbreaker/ExceptionCircuitBreaker.java,85,3,17,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,3,0,0,0,0
Sentinel,ResponseTimeCircuitBreakerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/degrade/circuitbreaker/ResponseTimeCircuitBreaker.java,58,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
Sentinel,AuthoritySlotTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/authority/AuthoritySlot.java,132,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Sentinel,AuthorityRuleCheckerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/authority/AuthorityRuleChecker.java,59,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sentinel,AuthorityRuleManagerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/authority/AuthorityRuleManager.java,63,4,7,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,SystemRuleTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/system/SystemRule.java,66,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,FlowRuleCheckerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/FlowRuleChecker.java,180,10,11,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Sentinel,FlowRuleComparatorTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/FlowRuleComparator.java,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,DefaultControllerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/controller/DefaultController.java,44,3,4,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2
Sentinel,RateLimiterControllerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/controller/RateLimiterController.java,98,3,5,2,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,3,2
Sentinel,WarmUpControllerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/controller/WarmUpController.java,63,1,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0
Sentinel,WarmUpRateLimiterControllerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/controller/WarmUpRateLimiterController.java,53,2,5,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,2
Sentinel,FlowSlotTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/FlowSlot.java,96,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sentinel,FlowRuleManagerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/FlowRuleManager.java,79,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
Sentinel,DefaultSlotChainBuilderTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/DefaultSlotChainBuilder.java,89,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Sentinel,ArrayMetricTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/statistic/metric/ArrayMetric.java,120,3,6,2,0,0,2,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,1
Sentinel,OccupiableBucketLeapArrayTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/statistic/metric/occupy/OccupiableBucketLeapArray.java,139,8,15,4,0,0,0,0,0,9,5,0,0,0,0,2,0,0,2,0,0,3,5
Sentinel,BucketLeapArrayTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/statistic/metric/BucketLeapArray.java,218,12,29,8,0,2,0,0,0,2,5,0,0,0,0,1,0,0,3,0,0,0,3
Sentinel,FutureBucketLeapArrayTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/statistic/metric/occupy/FutureBucketLeapArray.java,32,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,LeapArrayTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/statistic/base/LeapArray.java,65,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Sentinel,EagleEyeLogUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/logger/EagleEyeLogUtil.java,67,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Sentinel,SystemRuleManagerTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/slots/system/SystemRuleManager.java,111,6,9,4,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,3
Sentinel,ContextTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/context/Context.java,142,9,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5
Sentinel,AsyncEntryTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/AsyncEntry.java,101,5,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
Sentinel,SentinelConfigTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/config/SentinelConfig.java,119,6,20,5,1,0,0,0,0,5,2,0,0,0,0,1,0,1,1,1,0,0,6
Sentinel,CtEntryTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/CtEntry.java,134,8,16,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
Sentinel,MethodUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/MethodUtil.java,63,5,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
Sentinel,ConfigUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/ConfigUtil.java,125,2,9,2,2,0,0,0,0,0,4,0,0,0,0,2,0,2,3,2,0,0,2
Sentinel,VersionUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/VersionUtil.java,49,2,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,IdUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/IdUtil.java,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,StringUtilTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/StringUtil.java,84,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,Tuple2Test,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/function/Tuple2.java,29,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel,SpiLoaderTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/spi/SpiLoader.java,321,17,82,13,0,0,0,1,0,10,7,0,0,0,1,2,0,0,2,4,0,0,8
Sentinel,CtSphTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/CtSph.java,365,24,29,0,3,0,6,0,0,0,10,0,0,3,0,2,0,0,1,6,0,0,4
Sentinel,ClusterNodeTest,/home/luana-martins/.jnose_projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/node/ClusterNode.java,128,2,11,2,0,0,0,0,0,3,4,0,0,0,0,1,0,0,1,1,0,0,2
