file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagingController.java,org.signal.paging.PagingController,interface,0,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagingConfig.java,org.signal.paging.PagingConfig$Builder,innerclass,3,7,1,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,29,4,0,0,0,0,3,6,6,3,3,1,0,0,0,28,9,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagingConfig.java,org.signal.paging.PagingConfig,class,2,4,1,0,0,0.0,0.0,4,0,0,1,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,48,3,0,0,0,0,0,0,3,0,3,0,0,1,0,50,17,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/BufferedPagingController.java,org.signal.paging.BufferedPagingController,class,8,4,1,7,0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,6,0,0,6,0,0,4,0,1,34,0,0,1,0,0,0,0,8,0,6,2,0,0,2,88,0,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/CompressedList.java,org.signal.paging.CompressedList,class,2,6,3,4,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,21,3,1,0,0,0,0,1,3,0,2,1,0,0,0,26,1,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagedData.java,org.signal.paging.PagedData,class,10,4,1,0,0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,0,0,0,0,0,4,0,4,0,0,0,0,17,17,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagedDataSource.java,org.signal.paging.PagedDataSource,interface,4,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,1,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/PagedDataSource.java,org.signal.paging.PagedDataSource$CancellationSignal,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/DataStatus.java,org.signal.paging.DataStatus,class,3,12,1,5,0,0.0,0.0,7,1,1,1,0,5,6,0,0,0,3,1,0,3,0,0,3,0,0,44,6,2,1,0,0,0,4,7,1,6,2,0,0,0,45,0,0
/home/luana-martins/.jnose_projects/Signal-Android/paging/lib/src/main/java/org/signal/paging/ProxyPagingController.java,org.signal.paging.ProxyPagingController,class,2,5,1,2,0,0.0,0.0,3,0,3,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,16,0,0,2,0,0,0,0,1,0,1,1,0,0,0,40,1,0
