App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
Signal-Android,Base64UrlSafeTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/util/Base64UrlSafe.java,67,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Signal-Android,FlagUtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/util/FlagUtil.java,35,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Signal-Android,DigestingRequestBodyTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/internal/push/http/DigestingRequestBody.java,73,9,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1
Signal-Android,SignalServiceAddressProtobufSerializerTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/internal/serialize/SignalServiceAddressProtobufSerializer.java,49,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Signal-Android,AccountAttributesTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/account/AccountAttributes.java,46,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal-Android,MasterKeyTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/kbs/MasterKey.java,50,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Signal-Android,UuidUtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/util/UuidUtil.java,79,7,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
Signal-Android,OptionalUtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/util/OptionalUtil.java,53,6,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Signal-Android,Uint64UtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/util/Uint64Util.java,95,13,9,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2
Signal-Android,ProtoUtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/util/ProtoUtil.java,241,12,26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
Signal-Android,DecryptedGroupUtilTest,/home/luana-martins/.jnose_projects/Signal-Android/libsignal/service/src/main/java/org/whispersystems/signalservice/api/groupsv2/DecryptedGroupUtil.java,153,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
