App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
apollo,ConfigServiceTest,/home/luana-martins/.jnose_projects/apollo/apollo-configservice/src/main/java/com/ctrip/framework/apollo/configservice/service/config/ConfigService.java,180,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
apollo,PropertiesCompatibleFileConfigRepositoryTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/PropertiesCompatibleFileConfigRepository.java,118,9,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
apollo,ConfigServiceLocatorTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/ConfigServiceLocator.java,33,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
apollo,DefaultConfigManagerTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/DefaultConfigManager.java,149,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
apollo,RemoteConfigLongPollServiceTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/RemoteConfigLongPollService.java,563,20,20,1,0,0,3,0,0,5,0,0,4,0,0,6,0,0,1,0,0,0,2
apollo,DefaultMetaServerProviderTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/DefaultMetaServerProvider.java,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apollo,SimpleConfigTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/SimpleConfig.java,153,9,17,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
apollo,PropertiesConfigFileTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/PropertiesConfigFile.java,154,10,19,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
apollo,YamlConfigFileTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/YamlConfigFile.java,234,14,29,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6
apollo,DefaultConfigTest,/home/luana-martins/.jnose_projects/apollo/apollo-client/src/main/java/com/ctrip/framework/apollo/internals/DefaultConfig.java,971,43,78,25,2,0,2,0,0,11,2,0,3,0,0,6,0,3,6,0,0,0,36
