file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,com.alibaba.arthas.Pojo,class,0,6,1,0,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,9,1,0
/home/luana-martins/.jnose_projects/arthas/testcase/src/main/java/com/alibaba/arthas/Type.java,com.alibaba.arthas.Type,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/luana-martins/.jnose_projects/arthas/testcase/src/main/java/com/alibaba/arthas/Test.java,com.alibaba.arthas.Test,class,2,6,1,11,3,0.0,0.0,3,3,3,0,0,0,4,0,0,0,3,3,3,0,0,0,3,0,2,34,0,2,0,0,0,7,5,8,2,8,1,0,0,0,26,1,0
/home/luana-martins/.jnose_projects/arthas/agent/src/main/java/com/taobao/arthas/agent/ArthasClassloader.java,com.taobao.arthas.agent.ArthasClassloader,class,0,8,4,7,1,0.0,0.0,2,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,24,4,0,2,1,1,2,0,2,0,2,2,0,0,0,22,1,0
/home/luana-martins/.jnose_projects/arthas/agent/src/main/java/com/taobao/arthas/agent334/AgentBootstrap.java,com.taobao.arthas.agent334.AgentBootstrap,class,2,29,1,32,24,0.0,0.0,8,8,3,5,0,0,4,0,0,1,6,6,0,6,0,0,4,0,10,144,6,0,5,6,0,23,2,28,5,20,5,1,0,0,90,1,0
/home/luana-martins/.jnose_projects/arthas/agent/src/main/java/com/taobao/arthas/agent334/AgentBootstrap.java,com.taobao.arthas.agent334.AgentBootstrap$Anonymous1,anonymous,1,2,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,-1,0
/home/luana-martins/.jnose_projects/arthas/tunnel-server/src/test/java/com/alibaba/arthas/tunnel/server/utils/HttpUtilsTest.java,com.alibaba.arthas.tunnel.server.utils.HttpUtilsTest,class,3,3,1,7,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,7,0,6,0,6,0,0,0,0,12,1,0
/home/luana-martins/.jnose_projects/arthas/tunnel-server/src/test/java/com/alibaba/arthas/tunnel/server/URITest.java,com.alibaba.arthas.tunnel.server.URITest,class,1,3,1,11,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,26,0,13,3,13,0,0,0,0,25,1,0
/home/luana-martins/.jnose_projects/arthas/tunnel-server/src/main/java/com/alibaba/arthas/tunnel/server/AgentClusterInfo.java,com.alibaba.arthas.tunnel.server.AgentClusterInfo,class,1,10,1,3,21,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,38,4,0,0,0,0,0,0,8,0,4,0,0,0,0,19,1,0
/home/luana-martins/.jnose_projects/arthas/tunnel-server/src/main/java/com/alibaba/arthas/tunnel/server/AgentInfo.java,com.alibaba.arthas.tunnel.server.AgentInfo,class,2,8,1,0,20,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,16,1,0
