App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
arthas,HttpUtilsTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/HttpUtils.java,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
arthas,EnhancerTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java,95,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
arthas,ArthasEnvironmentTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/env/ArthasEnvironment.java,54,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
arthas,GrepCommandTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/command/basic1000/GrepCommand.java,69,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
arthas,ServerPropertiesTest,/home/luana-martins/.jnose_projects/arthas/core/src/test/java/com/taobao/arthas/core/config/ServerProperties.java,76,2,9,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
arthas,WildcardMatcherTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/WildcardMatcher.java,36,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,EqualsMatcherTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/EqualsMatcher.java,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,TrueMatcherTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/TrueMatcher.java,19,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,RegexMatcherTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/RegexMatcher.java,63,3,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
arthas,FalseMatcherTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/matcher/FalseMatcher.java,19,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,StringUtilsTest,/home/luana-martins/.jnose_projects/arthas/arthas-spring-boot-starter/src/main/java/com/alibaba/arthas/spring/StringUtils.java,415,46,176,0,0,0,0,0,0,29,1,0,0,0,4,0,0,0,0,0,0,0,1
arthas,FileUtilsTest,/home/luana-martins/.jnose_projects/arthas/common/src/main/java/com/taobao/arthas/common/FileUtils.java,115,12,3,1,7,0,2,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,3
arthas,DecompilerTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/Decompiler.java,37,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
arthas,ArrayUtilsTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/ArrayUtils.java,40,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,LogUtilTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/LogUtil.java,168,9,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1
arthas,DateUtilsTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/DateUtils.java,30,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
arthas,TokenUtilsTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/TokenUtils.java,126,4,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
arthas,ArthasCheckUtilsTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/util/ArthasCheckUtils.java,32,2,13,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
arthas,ArthasBootstrapTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/server/ArthasBootstrap.java,63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
arthas,ObjectViewTest,/home/luana-martins/.jnose_projects/arthas/core/src/main/java/com/taobao/arthas/core/view/ObjectView.java,306,24,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
