file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/calcite/pig/src/test/java/org/apache/calcite/test/PigRelBuilderStyleTest.java,org.apache.calcite.test.PigRelBuilderStyleTest,class,34,21,2,64,136,0.0,0.0,17,0,6,6,0,5,11,0,0,0,0,0,0,0,0,0,0,0,6,116,5,1,2,1,0,136,9,42,10,46,1,0,0,4,122,0,0
/home/luana-martins/.jnose_projects/calcite/pig/src/test/java/org/apache/calcite/test/PigAdapterTest.java,org.apache.calcite.test.PigAdapterTest,class,9,10,2,18,0,0.0,0.0,8,1,0,1,0,7,7,0,0,0,1,1,1,0,0,0,1,0,15,31,1,0,1,0,0,77,2,2,14,4,1,0,0,2,93,0,0
/home/luana-martins/.jnose_projects/calcite/pig/src/test/java/org/apache/calcite/test/AbstractPigTest.java,org.apache.calcite.test.AbstractPigTest,class,2,1,1,5,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,19,1025,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigRelFactories.java,org.apache.calcite.adapter.pig.PigRelFactories$PigAggregateFactory,innerclass,10,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,23,9,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigRelFactories.java,org.apache.calcite.adapter.pig.PigRelFactories$PigJoinFactory,innerclass,10,1,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,9,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigRelFactories.java,org.apache.calcite.adapter.pig.PigRelFactories$PigTableScanFactory,innerclass,7,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,22,9,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigRelFactories.java,org.apache.calcite.adapter.pig.PigRelFactories$PigFilterFactory,innerclass,8,1,1,5,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,8,1,0,0,0,0,1,0,2,0,2,0,0,0,0,25,9,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigRelFactories.java,org.apache.calcite.adapter.pig.PigRelFactories,class,6,1,1,1,0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,36,0,0,0,0,0,0,0,1,0,1,0,0,4,0,22,1,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigDataType.java,org.apache.calcite.adapter.pig.PigDataType,enum,2,9,1,2,0,0.0,0.0,5,2,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,2,29,4,2,2,0,0,4,0,2,2,2,2,0,0,0,29,1,0
/home/luana-martins/.jnose_projects/calcite/pig/src/main/java/org/apache/calcite/adapter/pig/PigAggregate.java,org.apache.calcite.adapter.pig.PigAggregate,class,17,28,4,40,118,0.0,0.0,16,1,5,11,0,0,5,0,0,0,1,1,1,0,0,0,1,0,7,103,14,6,2,0,4,22,4,24,12,24,3,0,0,0,134,1,0
