App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
calcite,ElasticsearchJsonTest,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,194,10,61,5,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,3
calcite,ScrollingTest,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/Scrolling.java,126,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
calcite,ElasticsearchVersionTest,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchVersion.java,63,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calcite,MatchTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/core/Match.java,224,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
calcite,QueryBuildersTest,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/QueryBuilders.java,186,9,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
calcite,FrameworksTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/tools/Frameworks.java,551,14,41,6,0,0,4,0,0,8,1,0,0,9,0,3,0,0,0,2,0,0,32
calcite,PlannerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/tools/Planner.java,1528,76,22,0,0,0,36,0,0,0,0,0,0,50,13,5,0,0,0,5,0,0,37
calcite,SqlNodeTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/SqlNode.java,76,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,SqlValidatorUtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorUtil.java,163,9,16,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,1,0,0,1
calcite,SqlTypeNameTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/type/SqlTypeName.java,279,36,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1
calcite,SqlAdvisorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisor.java,1640,80,0,0,0,0,4,0,0,0,0,0,0,34,0,8,0,0,14,0,0,0,0
calcite,SqlParserTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/parser/SqlParser.java,10074,471,52,1,0,0,393,0,0,3,26,0,0,403,6,47,0,0,5,1,0,0,14
calcite,SqlTypeUtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/type/SqlTypeUtil.java,229,15,37,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,1
calcite,EnumerablesTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/Enumerables.java,1513,73,59,0,0,0,3,0,0,0,6,0,0,54,59,10,0,0,2,0,0,0,0
calcite,DeterministicAutomatonTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/DeterministicAutomaton.java,102,4,9,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3
calcite,BinarySearchTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/BinarySearch.java,74,7,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
calcite,AutomatonTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/Automaton.java,247,12,16,0,0,0,1,0,0,0,1,0,0,9,9,0,0,0,0,0,0,0,1
calcite,JavaTypeFactoryTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/java/JavaTypeFactory.java,108,9,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
calcite,RelMdUtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdUtil.java,54,1,5,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
calcite,RelDistributionTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/RelDistribution.java,97,4,22,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0
calcite,ToLogicalConverterTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/logical/ToLogicalConverter.java,478,25,4,0,0,0,16,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0
calcite,RelCollationTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/RelCollation.java,234,8,74,1,0,0,0,0,0,7,0,0,0,6,0,2,0,0,1,0,0,0,0
calcite,RelToSqlConverterTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/rel2sql/RelToSqlConverter.java,5950,339,23,0,0,0,311,0,0,0,2,0,0,325,3,27,0,0,1,1,0,0,0
calcite,SortRemoveRuleTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/rules/SortRemoveRule.java,212,6,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0
calcite,DateRangeRulesTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/rules/DateRangeRules.java,766,31,3,0,0,0,26,0,0,0,0,0,0,27,0,5,0,0,0,0,0,0,0
calcite,EnumerableLimitRuleTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableLimitRule.java,101,1,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
calcite,LatticeSuggesterTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/materialize/LatticeSuggester.java,875,26,48,4,0,0,5,0,0,14,1,0,0,18,4,5,0,0,1,0,0,0,4
calcite,RexProgramTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexProgram.java,3227,130,128,4,0,0,89,0,0,12,8,0,0,117,8,20,0,0,2,3,0,0,6
calcite,RexNormalizeTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexNormalize.java,141,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calcite,RexSqlStandardConvertletTableTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexSqlStandardConvertletTable.java,99,5,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
calcite,RexExecutorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexExecutor.java,380,18,22,0,0,0,4,0,0,8,6,0,0,14,1,2,0,0,1,2,0,0,0
calcite,TestUtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/util/TestUtil.java,125,5,15,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0
calcite,UtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/Util.java,2956,109,689,26,0,0,8,3,0,256,31,0,0,80,57,28,0,0,55,24,0,1,9
calcite,DirectedGraphTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/graph/DirectedGraph.java,425,21,52,0,0,0,0,0,0,11,2,0,0,12,21,2,0,0,4,2,0,0,0
calcite,SourceTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/interpreter/Source.java,203,14,9,1,1,0,0,0,0,0,1,0,0,7,2,0,0,3,0,1,0,0,1
calcite,ImmutableBitSetTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,614,32,161,23,0,0,1,0,0,87,8,0,0,29,27,5,0,0,3,9,0,0,17
calcite,PrecedenceClimbingParserTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/PrecedenceClimbingParser.java,174,9,9,9,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,7
calcite,MappingTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/mapping/Mapping.java,254,7,62,3,0,0,0,0,0,41,0,0,0,7,10,2,0,0,0,0,0,0,8
calcite,BitSetsTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/BitSets.java,226,11,35,5,0,0,0,0,0,14,1,0,0,10,7,1,0,0,0,1,0,0,3
calcite,PartiallyOrderedSetTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/PartiallyOrderedSet.java,460,31,35,5,0,0,13,0,0,5,9,0,0,15,25,1,0,0,6,5,0,5,8
calcite,ChunkListTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/ChunkList.java,514,7,48,3,0,0,3,0,0,26,25,0,0,5,6,2,0,0,6,4,0,0,6
calcite,SqlToRelConverterTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java,4288,482,10,6,0,0,470,0,0,6,5,0,0,469,2,1,0,0,0,0,0,0,12
calcite,MutableRelTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/mutable/MutableRel.java,317,26,11,1,0,0,18,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0
calcite,PigRelBuilderTest,/home/luana-martins/.jnose_projects/calcite/piglet/src/main/java/org/apache/calcite/piglet/PigRelBuilder.java,180,25,7,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,1
calcite,SqlValidatorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/validate/SqlValidator.java,12169,529,44,0,0,0,455,0,0,12,35,0,0,459,21,83,0,0,9,2,0,0,0
calcite,ReflectiveSchemaTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/java/ReflectiveSchema.java,1085,60,12,0,0,0,37,0,0,7,1,0,0,44,3,4,0,0,1,3,0,0,9
calcite,RexImplicationCheckerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/RexImplicationChecker.java,643,20,12,0,0,0,17,0,0,0,4,0,0,19,16,3,0,0,0,0,0,0,0
calcite,SqlStatisticProviderTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/materialize/SqlStatisticProvider.java,133,6,2,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0
calcite,ScannableTableTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/schema/ScannableTable.java,700,29,35,0,0,0,6,0,0,12,0,0,0,18,11,1,0,0,7,2,0,0,0
calcite,RelMdSelectivityTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdSelectivity.java,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
calcite,RelBuilderTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/tools/RelBuilder.java,4306,193,246,167,0,0,5,0,0,2,4,0,0,180,12,23,0,0,7,31,0,0,88
calcite,HepPlannerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/hep/HepPlanner.java,401,21,8,7,0,0,10,0,0,4,1,0,0,14,1,0,0,0,0,0,0,0,8
calcite,SqlOperatorBindingTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/SqlOperatorBinding.java,146,6,19,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0
calcite,RexShuttleTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexShuttle.java,132,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
calcite,LatticeTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/materialize/Lattice.java,985,52,28,0,0,0,31,0,0,21,3,0,0,41,2,3,0,0,1,2,0,1,0
calcite,SqlFunctionsTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,977,47,407,4,0,0,3,0,0,226,1,0,0,41,37,8,0,0,1,16,0,0,5
calcite,TypeCoercionTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/validate/implicit/TypeCoercion.java,905,56,0,0,0,0,9,0,0,0,2,0,0,9,0,5,0,0,0,0,1,0,0
calcite,RexTransformerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rex/RexTransformer.java,415,44,24,0,0,0,15,0,0,0,0,0,8,18,5,0,0,0,0,0,0,0,0
calcite,RelMdColumnOriginsTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdColumnOrigins.java,77,1,7,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0
calcite,FilteratorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/util/Filterator.java,103,4,16,3,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,0,0,0,2
calcite,RelOptRulesTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/RelOptRules.java,7163,527,6,0,1,0,474,0,0,2,2,0,0,506,0,26,0,0,0,0,0,0,0
calcite,MaterializedViewSubstitutionVisitorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/MaterializedViewSubstitutionVisitor.java,1607,106,15,0,0,0,93,0,0,0,0,5,0,99,4,2,0,0,3,0,0,0,0
calcite,TableFunctionTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/schema/TableFunction.java,529,24,17,0,0,0,10,0,0,0,2,0,0,22,16,2,0,0,1,9,0,0,0
calcite,EnumerableCalcTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCalc.java,112,6,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
calcite,EnumerableSortedAggregateTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSortedAggregate.java,143,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,EnumerableHashJoinTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,212,9,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,EnumerableMergeUnionTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeUnion.java,309,13,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,EnumerableRepeatUnionTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,236,6,0,0,0,0,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0
calcite,EnumerableBatchNestedLoopJoinTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableBatchNestedLoopJoin.java,251,13,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
calcite,EnumerableCorrelateTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,291,10,0,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
calcite,EnumerableUncollectTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUncollect.java,200,17,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,CalciteResourceTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/runtime/CalciteResource.java,43,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
calcite,ArrayTableTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/clone/ArrayTable.java,364,12,83,7,0,0,2,0,0,61,5,0,0,11,0,4,0,0,7,0,0,0,3
calcite,PhysTypeTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/PhysType.java,98,4,3,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,1
calcite,EnumUtilsTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java,215,4,24,0,0,0,0,0,0,0,0,0,0,4,24,3,0,0,0,0,0,0,1
calcite,CorrelateProjectExtractorTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql2rel/CorrelateProjectExtractor.java,133,3,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1
calcite,RelFieldTrimmerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql2rel/RelFieldTrimmer.java,455,15,32,14,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,2
calcite,ProfilerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/profile/Profiler.java,638,14,27,0,0,0,9,0,0,9,0,0,0,10,9,3,0,0,3,0,0,0,0
calcite,RelOptUtilTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/RelOptUtil.java,714,24,37,7,0,0,5,0,0,0,0,0,6,14,20,7,0,0,0,2,0,0,4
calcite,VolcanoPlannerTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/volcano/VolcanoPlanner.java,1111,32,17,15,0,0,4,0,0,0,3,0,0,16,1,5,0,0,0,0,0,0,158
calcite,RelTraitTest,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/plan/RelTrait.java,99,7,16,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,2,0,0,0,0
