App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
canal,MetaHistoryDAOTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/dao/MetaHistoryDAO.java,50,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
canal,MemoryTableMetaTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/MemoryTableMeta.java,39,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
canal,MetaSnapshotDAOTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/dao/MetaSnapshotDAO.java,43,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,DruidDdlParserTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/ddl/DruidDdlParser.java,269,7,125,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,0,0,0,1
canal,RdsBinlogEventParserProxyTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/rds/RdsBinlogEventParserProxy.java,121,10,4,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
canal,MysqlEventParserTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParser.java,324,10,12,4,0,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,0,0,7
canal,DdlResultTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/ddl/DdlResult.java,277,18,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
canal,RdsBinlogOpenApiTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/rds/RdsBinlogOpenApi.java,36,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
canal,LocalBinlogEventParserTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/LocalBinlogEventParser.java,237,10,8,3,0,0,0,0,0,3,3,0,0,3,0,3,0,1,0,0,0,0,9
canal,SimpleDdlParserTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/ddl/SimpleDdlParser.java,244,6,111,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,23,0,0,0,1
canal,TableMetaCacheTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/dbsync/TableMetaCache.java,42,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
canal,EventTransactionBufferTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBuffer.java,130,6,2,2,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,2,0,8,6
canal,FileMixedLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/FileMixedLogPositionManager.java,51,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,MixedLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/MixedLogPositionManager.java,49,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,MemoryLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/MemoryLogPositionManager.java,15,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,ZooKeeperLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/ZooKeeperLogPositionManager.java,35,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,MetaLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/MetaLogPositionManager.java,87,6,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
canal,PeriodMixedLogPositionManagerTest,/home/luana-martins/.jnose_projects/canal/parse/src/main/java/com/alibaba/otter/canal/parse/index/PeriodMixedLogPositionManager.java,54,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
canal,DirectLogFetcherTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/DirectLogFetcher.java,364,18,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,1,0
canal,MemoryMetaManagerTest,/home/luana-martins/.jnose_projects/canal/meta/src/main/java/com/alibaba/otter/canal/meta/MemoryMetaManager.java,40,3,1,3,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2
canal,MixedMetaManagerTest,/home/luana-martins/.jnose_projects/canal/meta/src/main/java/com/alibaba/otter/canal/meta/MixedMetaManager.java,104,6,4,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3
canal,ZooKeeperMetaManagerTest,/home/luana-martins/.jnose_projects/canal/meta/src/main/java/com/alibaba/otter/canal/meta/ZooKeeperMetaManager.java,62,6,1,3,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3
canal,FileMixedMetaManagerTest,/home/luana-martins/.jnose_projects/canal/meta/src/main/java/com/alibaba/otter/canal/meta/FileMixedMetaManager.java,88,6,3,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,4
canal,PeriodMixedMetaManagerTest,/home/luana-martins/.jnose_projects/canal/meta/src/main/java/com/alibaba/otter/canal/meta/PeriodMixedMetaManager.java,94,6,3,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3
canal,BooleanMutexTest,/home/luana-martins/.jnose_projects/canal/common/src/main/java/com/alibaba/otter/canal/common/utils/BooleanMutex.java,117,6,5,2,0,0,0,0,0,4,2,0,0,0,0,2,0,0,2,2,0,0,3
canal,LogEventTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogEvent.java,536,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
canal,FileLogFetcherTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/FileLogFetcher.java,92,3,0,1,1,0,0,0,0,0,3,0,0,1,0,1,0,2,1,1,0,0,0
canal,DirectLogFetcherTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/DirectLogFetcher.java,85,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0
canal,JsonDiffConversionTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/JsonDiffConversion.java,207,7,26,0,0,0,0,0,0,12,0,0,0,0,1,4,0,0,0,4,0,0,1
canal,LogHeaderTest,/home/luana-martins/.jnose_projects/canal/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/LogHeader.java,233,17,15,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
canal,MySQLPasswordEncrypterTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/utils/MySQLPasswordEncrypter.java,51,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canal,ByteHelperTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/utils/ByteHelper.java,179,20,27,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1
canal,UUIDSetTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/UUIDSet.java,30,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
canal,RegisterSlaveCommandPacketTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/RegisterSlaveCommandPacket.java,58,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canal,CharsetUtilTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/utils/CharsetUtil.java,51,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
canal,MysqlConnectorTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/MysqlConnector.java,55,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,3
canal,MysqlGTIDSetTest,/home/luana-martins/.jnose_projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/MysqlGTIDSet.java,131,6,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2
canal,SimpleAdminConnectorTest,/home/luana-martins/.jnose_projects/canal/admin/admin-web/src/main/java/com/alibaba/otter/canal/admin/connector/SimpleAdminConnector.java,42,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0
canal,CanalServerTest,/home/luana-martins/.jnose_projects/canal/server/src/main/java/com/alibaba/otter/canal/server/CanalServer.java,268,16,0,0,0,1,1,0,0,0,8,0,1,1,0,1,0,0,0,1,0,2,0
canal,SecurityUtilTest,/home/luana-martins/.jnose_projects/canal/protocol/src/main/java/com/alibaba/otter/canal/protocol/SecurityUtil.java,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canal,UtilTest,/home/luana-martins/.jnose_projects/canal/client-adapter/common/src/main/java/com/alibaba/otter/canal/client/adapter/support/Util.java,128,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
canal,JdbcTypeUtilTest,/home/luana-martins/.jnose_projects/canal/connector/core/src/main/java/com/alibaba/otter/canal/connector/core/util/JdbcTypeUtil.java,189,11,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
