file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/MismatchListener.java,org.apache.cassandra.fqltool.MismatchListener,interface,3,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$FailedComparableResultSet$Anonymous2,anonymous,2,5,1,3,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,0,0,0,1,0,0,0,0,0,0,0,12,-1,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$Anonymous1,anonymous,3,2,1,2,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0,1,1,0,0,0,10,-1,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$StoredComparableColumnDefinitions,innerclass,4,12,1,12,0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,3,0,4,35,9,0,1,0,2,0,0,3,0,3,1,0,0,0,26,8,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet,class,10,7,1,2,7,0.0,0.0,7,2,7,0,0,0,7,0,0,0,5,0,1,4,0,0,5,0,0,160,6,0,0,0,0,0,0,9,0,9,0,1,4,1,78,1,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$StoredComparableRow,innerclass,3,7,1,7,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,24,6,0,0,0,2,1,0,2,0,2,1,0,0,0,21,8,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$FailedComparableResultSet,innerclass,4,5,1,1,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,35,4,0,0,0,0,0,0,1,0,1,0,1,0,0,15,10,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/StoredResultSet.java,org.apache.cassandra.fqltool.StoredResultSet$StoredComparableDefinition,innerclass,3,7,1,4,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,22,6,0,0,0,2,0,0,1,1,1,1,0,0,0,15,10,0
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/QueryReplayer.java,org.apache.cassandra.fqltool.QueryReplayer,class,15,18,1,40,3,0.0,0.0,6,1,4,2,0,0,4,0,0,0,9,2,0,9,0,0,9,0,5,138,1,3,3,2,0,8,3,18,2,19,5,1,3,1,123,1,5
/home/luana-martins/.jnose_projects/cassandra/tools/fqltool/src/org/apache/cassandra/fqltool/QueryReplayer.java,org.apache.cassandra.fqltool.QueryReplayer$DefaultSessionProvider,innerclass,4,5,1,16,0,0.0,0.0,2,0,2,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,1,27,4,0,1,1,0,1,0,5,0,6,2,0,0,1,24,26,1
