App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
commons-io,ByteOrderParserTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/ByteOrderParser.java,46,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
commons-io,ProxyCollectionWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyCollectionWriter.java,471,23,54,23,0,0,0,0,0,42,6,0,0,0,24,1,0,0,0,24,0,0,5
commons-io,StringBuilderWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/StringBuilderWriter.java,152,13,19,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,12,0,0,4
commons-io,TaggedWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/TaggedWriter.java,125,3,12,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,5,0,0,3
commons-io,ClosedOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ClosedOutputStream.java,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
commons-io,NullPrintStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/NullPrintStream.java,55,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
commons-io,ChunkedOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ChunkedOutputStream.java,67,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2
commons-io,LockableFileWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/LockableFileWriter.java,185,14,42,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,17,8,0,0,1
commons-io,ProxyOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyOutputStream.java,62,5,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
commons-io,QueueOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/QueueOutputStream.java,122,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
commons-io,CloseShieldOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/CloseShieldOutputStream.java,62,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-io,BrokenOutputStreamTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/BrokenOutputStream.java,87,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0
commons-io,BrokenWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/BrokenWriter.java,87,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0
commons-io,ProxyWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyWriter.java,273,21,8,19,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,21,0,0,3
commons-io,AppendableWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/AppendableWriter.java,88,8,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3
commons-io,TeeWriterTest,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/TeeWriter.java,451,23,54,21,0,0,0,0,0,42,6,0,0,0,24,1,0,0,0,24,0,0,5
