App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
curator,TestEnsurePath,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/utils/EnsurePath.java,130,2,2,2,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2
curator,TestCloseableScheduledExecutorService,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/utils/CloseableScheduledExecutorService.java,121,7,6,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2
curator,TestCloseableExecutorService,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/utils/CloseableExecutorService.java,273,10,11,5,0,1,0,0,0,11,8,0,0,0,0,4,0,0,0,1,0,0,4
curator,TestZKPaths,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/utils/ZKPaths.java,87,2,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
curator,TestRetryLoop,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/RetryLoop.java,220,5,6,3,0,0,1,0,0,2,9,0,0,0,0,3,0,0,0,3,0,0,3
curator,TestZPath,/home/luana-martins/.jnose_projects/curator/curator-x-async/src/main/java/org/apache/curator/x/async/modeled/ZPath.java,131,8,39,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,7
curator,TestModeledFramework,/home/luana-martins/.jnose_projects/curator/curator-x-async/src/main/java/org/apache/curator/x/async/modeled/ModeledFramework.java,183,8,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2
curator,TestCachedModeledFramework,/home/luana-martins/.jnose_projects/curator/curator-x-async/src/main/java/org/apache/curator/x/async/modeled/cached/CachedModeledFramework.java,187,5,15,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,0
curator,TestMigrationManager,/home/luana-martins/.jnose_projects/curator/curator-x-async/src/main/java/org/apache/curator/x/async/migrations/MigrationManager.java,361,25,24,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1
curator,TestAsyncWrappers,/home/luana-martins/.jnose_projects/curator/curator-x-async/src/main/java/org/apache/curator/x/async/AsyncWrappers.java,76,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
curator,TestNamespaceFacade,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/imps/NamespaceFacade.java,245,9,24,7,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,7,0,0,3
curator,TestGzipCompressionProvider,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/imps/GzipCompressionProvider.java,126,5,7,4,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,0,0,2
curator,TestExistsBuilder,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/api/ExistsBuilder.java,109,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
curator,TestWatcherRemovalManager,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/imps/WatcherRemovalManager.java,531,16,16,0,0,0,6,0,0,10,0,0,0,0,0,6,0,0,2,14,0,0,0
curator,TestEnsureContainers,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/EnsureContainers.java,75,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
curator,TestFailedDeleteManager,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/imps/FailedDeleteManager.java,369,6,23,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,5,6,0,0,0
curator,TestWatchesBuilder,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/api/WatchesBuilder.java,791,23,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,19,0,0,0
curator,TestEnsembleProvider,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/ensemble/EnsembleProvider.java,163,5,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2
curator,TestRetryPolicy,/home/luana-martins/.jnose_projects/curator/curator-client/src/main/java/org/apache/curator/RetryPolicy.java,229,3,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1
curator,TestConnectionStateManager,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/state/ConnectionStateManager.java,86,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
curator,TestCircuitBreaker,/home/luana-martins/.jnose_projects/curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,100,6,18,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,4
curator,TestQuorumConfigBuilder,/home/luana-martins/.jnose_projects/curator/curator-test/src/main/java/org/apache/curator/test/QuorumConfigBuilder.java,49,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
curator,TestUriSpec,/home/luana-martins/.jnose_projects/curator/curator-x-discovery/src/main/java/org/apache/curator/x/discovery/UriSpec.java,103,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
curator,TestLocalIpFilter,/home/luana-martins/.jnose_projects/curator/curator-x-discovery/src/main/java/org/apache/curator/x/discovery/LocalIpFilter.java,61,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
curator,TestDownInstanceManager,/home/luana-martins/.jnose_projects/curator/curator-x-discovery/src/main/java/org/apache/curator/x/discovery/details/DownInstanceManager.java,84,5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
curator,TestJsonInstanceSerializer,/home/luana-martins/.jnose_projects/curator/curator-x-discovery/src/main/java/org/apache/curator/x/discovery/details/JsonInstanceSerializer.java,192,8,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
