file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/tools/transfer/CSVImporterTest.java,org.jkiss.dbeaver.tools.transfer.CSVImporterTest,class,12,8,1,14,19,0.0,0.0,7,0,6,1,0,0,6,0,0,0,5,1,0,5,0,0,4,0,0,54,1,0,0,1,0,17,22,10,0,11,1,0,0,0,46,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/data/transfer/StreamTransferUtilsTest.java,org.jkiss.dbeaver.data.transfer.StreamTransferUtilsTest,class,2,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,11,0,1,0,1,0,0,0,0,8,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/sql/format/tokenized/SQLFormatterTokenizedTest.java,org.jkiss.dbeaver.model.sql.format.tokenized.SQLFormatterTokenizedTest,class,11,16,1,20,0,0.0,0.0,16,0,14,2,0,0,14,0,0,0,6,0,0,5,0,1,1,0,1,118,2,0,0,0,0,147,0,45,11,48,0,0,0,0,163,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/sql/parser/SQLScriptParserTest.java,org.jkiss.dbeaver.model.sql.parser.SQLScriptParserTest,class,22,7,1,25,9,0.0,0.0,6,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,42,2,1,0,0,0,222,2,10,12,13,1,0,0,1,124,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformerTest.java,org.jkiss.dbeaver.model.impl.data.transformers.EpochTimeAttributeTransformerTest$DBDAttributeBindingTestDouble,innerclass,10,22,2,0,231,0.0,0.0,22,0,21,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,68,21,0,0,0,0,0,4,0,0,0,0,0,0,0,47,10,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformerTest.java,org.jkiss.dbeaver.model.impl.data.transformers.EpochTimeAttributeTransformerTest,class,13,11,2,12,13,0.0,0.0,7,0,4,3,0,0,4,0,0,0,9,3,0,9,0,0,7,0,2,140,2,0,2,2,0,28,24,10,0,10,1,0,1,0,57,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/DBUtilsTest.java,org.jkiss.dbeaver.model.DBUtilsTest,class,8,3,1,5,1,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,3,25,0,0,0,0,0,6,0,1,0,2,0,1,0,0,24,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/DBUtilsTest.java,org.jkiss.dbeaver.model.DBUtilsTest$Anonymous1,anonymous,2,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,0,0,0,0,11,-1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/test/platform/PlatformTest.java,org.jkiss.dbeaver.test.platform.PlatformTest,class,6,4,1,5,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,0,1,0,1,1,1,1,0,0,0,12,1,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/SecurityUtilsTest.java,org.jkiss.utils.SecurityUtilsTest,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
