App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
dbeaver,StreamTransferUtilsTest,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.data.transfer/src/org/jkiss/dbeaver/tools/transfer/stream/StreamTransferUtils.java,37,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dbeaver,SQLFormatterTokenizedTest,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model.sql/src/org/jkiss/dbeaver/model/sql/format/tokenized/SQLFormatterTokenized.java,366,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dbeaver,SQLScriptParserTest,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model.sql/src/org/jkiss/dbeaver/model/sql/parser/SQLScriptParser.java,339,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dbeaver,EpochTimeAttributeTransformerTest,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformer.java,246,17,22,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
dbeaver,DBUtilsTest,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/DBUtils.java,79,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dbeaver,SecurityUtilsTest,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/SecurityUtils.java,122,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dbeaver,BOMInputStreamTest,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/io/BOMInputStream.java,62,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dbeaver,ByteNumberFormatTest,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/ByteNumberFormat.java,74,7,34,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
dbeaver,CommonUtilsTest,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,566,67,198,3,0,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0,0,0,7
dbeaver,BeanUtilsTest,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,341,20,67,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,3
