App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
deeplearning4j,NDArrayMessageChunkTests,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/chunk/NDArrayMessageChunk.java,85,1,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
deeplearning4j,ChunkAccumulatorTests,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/chunk/ChunkAccumulator.java,57,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,NDArrayMessageTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/NDArrayMessage.java,64,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,AeronNDArraySerdeTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-aeron/src/main/java/org/nd4j/aeron/ipc/AeronNDArraySerde.java,120,5,7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
deeplearning4j,ArrowSerdeTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-serde/nd4j-arrow/src/main/java/org/nd4j/arrow/ArrowSerde.java,55,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
deeplearning4j,TestReverse,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/impl/transforms/custom/Reverse.java,76,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
deeplearning4j,NodeReaderTests,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/samediff-import/samediff-import-tensorflow/src/test/java/org/nd4j/imports/tfgraphs/NodeReader.java,53,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,CustomOpTests,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/CustomOp.java,84,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,ByteOrderTests,/home/luana-martins/.jnose_projects/deeplearning4j/libnd4j/include/graph/generated/nd4j/graph/ByteOrder.java,207,11,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,InfoLineTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/InfoLine.java,61,1,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,BToolsTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/BTools.java,139,9,49,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,SISTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/SIS.java,73,3,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4j,PropertyParserTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/PropertyParser.java,1336,28,163,21,0,0,0,0,0,44,0,2,0,0,0,21,0,0,25,30,1,21,8
deeplearning4j,InfoValuesTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/tools/InfoValues.java,72,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
deeplearning4j,AtomicTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/Atomic.java,75,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
deeplearning4j,CounterMapTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/CounterMap.java,111,2,18,2,0,0,0,0,0,17,0,0,0,0,0,1,0,0,5,0,0,0,1
deeplearning4j,CounterTest,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/primitives/Counter.java,132,4,22,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,4
deeplearning4j,TestArchiveUtils,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArchiveUtils.java,71,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
deeplearning4j,TestPreconditions,/home/luana-martins/.jnose_projects/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/common/base/Preconditions.java,300,5,34,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,34,0,0,2
