App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
disruptor,BatchEventProcessorTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/BatchEventProcessor.java,374,14,11,3,0,0,0,0,0,9,2,0,0,0,0,2,0,0,2,0,0,0,24
disruptor,SequencerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/Sequencer.java,315,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,TimeoutBlockingWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/TimeoutBlockingWaitStrategy.java,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,EventPollerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/EventPoller.java,70,2,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
disruptor,MultiProducerSequencerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/MultiProducerSequencer.java,41,2,7,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,IgnoreExceptionHandlerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/IgnoreExceptionHandler.java,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,FixedSequenceGroupTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/FixedSequenceGroup.java,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,RingBufferTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/RingBuffer.java,1605,89,46,72,0,0,0,0,0,13,7,0,0,0,0,1,0,0,0,45,0,0,88
disruptor,BusySpinWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/BusySpinWaitStrategy.java,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,SequenceTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/Sequence.java,35,3,6,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
disruptor,SleepingWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/SleepingWaitStrategy.java,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,SequenceGroupTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/SequenceGroup.java,148,9,15,9,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5
disruptor,UtilTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/util/Util.java,55,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
disruptor,SequenceBarrierTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/SequenceBarrier.java,191,9,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,4
disruptor,PhasedBackoffWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/PhasedBackoffWaitStrategy.java,53,4,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
disruptor,SingleProducerSequencerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/SingleProducerSequencer.java,26,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
disruptor,LifecycleAwareTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/LifecycleAware.java,77,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,YieldingWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/YieldingWaitStrategy.java,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,DisruptorTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/dsl/Disruptor.java,741,47,26,24,0,1,5,0,0,12,3,0,0,0,0,0,0,0,0,1,0,0,6
disruptor,ConsumerRepositoryTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java,139,14,5,3,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,3
disruptor,LiteTimeoutBlockingWaitStrategyTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/LiteTimeoutBlockingWaitStrategy.java,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,FatalExceptionHandlerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/FatalExceptionHandler.java,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,EventTranslatorTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/EventTranslator.java,54,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptor,AggregateEventHandlerTest,/home/luana-martins/.jnose_projects/disruptor/src/main/java/com/lmax/disruptor/AggregateEventHandler.java,101,10,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
