App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
dubbo,DubboMonitorFactoryTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-default/src/main/java/org/apache/dubbo/monitor/dubbo/DubboMonitorFactory.java,68,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dubbo,StatisticsTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-default/src/main/java/org/apache/dubbo/monitor/dubbo/Statistics.java,98,2,14,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2
dubbo,MetricsFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-default/src/main/java/org/apache/dubbo/monitor/dubbo/MetricsFilter.java,333,14,19,0,0,2,0,0,0,19,9,0,1,0,0,3,0,0,0,6,0,0,1
dubbo,DubboMonitorTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-default/src/main/java/org/apache/dubbo/monitor/dubbo/DubboMonitor.java,249,8,19,5,0,2,1,0,0,2,4,0,0,0,0,3,0,0,1,1,0,0,5
dubbo,MonitorFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-api/src/main/java/org/apache/dubbo/monitor/support/MonitorFilter.java,203,8,20,4,0,2,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,4
dubbo,AbstractMonitorFactoryTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-monitor/dubbo-monitor-api/src/main/java/org/apache/dubbo/monitor/support/AbstractMonitorFactory.java,103,4,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
dubbo,ThriftProtocolTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-thrift/src/main/java/org/apache/dubbo/rpc/protocol/thrift/ThriftProtocol.java,84,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dubbo,HessianProtocolTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-hessian/src/main/java/org/apache/dubbo/rpc/protocol/hessian/HessianProtocol.java,254,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
dubbo,RpcInvocationTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-compatible/src/main/java/com/alibaba/dubbo/rpc/RpcInvocation.java,46,1,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dubbo,FutureContextTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java,53,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dubbo,InvokerInvocationHandlerTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/proxy/InvokerInvocationHandler.java,54,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubbo,ExceptionFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/ExceptionFilter.java,139,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
dubbo,EchoFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/EchoFilter.java,80,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dubbo,ContextFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/ContextFilter.java,76,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dubbo,TimeoutFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/TimeoutFilter.java,66,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dubbo,AccessLogFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/AccessLogFilter.java,88,4,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
dubbo,ActiveLimitFilterTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/ActiveLimitFilter.java,226,8,5,1,0,1,2,0,0,3,3,0,0,0,0,3,0,0,0,4,0,0,1
dubbo,StatItemTest,/home/luana-martins/.jnose_projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/tps/StatItem.java,56,4,6,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
