App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
fresco,FirstAvailableDataSourceSupplierTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/datasource/FirstAvailableDataSourceSupplier.java,342,12,0,7,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
fresco,IncreasingQualityDataSourceSupplierTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/datasource/IncreasingQualityDataSourceSupplier.java,468,15,0,12,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3
fresco,DataSourcesTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/datasource/DataSources.java,165,12,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1
fresco,BetterImageSpanTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/widget/text/span/BetterImageSpan.java,192,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
fresco,MediaUtilsTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/media/MediaUtils.java,88,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
fresco,StatFsHelperTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/statfs/StatFsHelper.java,233,21,16,7,0,0,0,0,0,7,0,0,4,7,0,1,0,0,2,0,0,0,3
fresco,SharedReferenceTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/references/SharedReference.java,134,6,17,2,0,0,1,0,0,4,0,0,0,0,0,1,0,0,5,2,0,0,6
fresco,CloseableReferenceTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/references/CloseableReference.java,65,7,6,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3
fresco,LimitedInputStreamTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/streams/LimitedInputStream.java,162,21,28,8,0,0,0,0,0,14,2,0,4,0,0,0,0,0,1,0,0,0,5
fresco,TailAppendingInputStreamTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/streams/TailAppendingInputStream.java,133,15,23,1,0,0,0,0,0,21,8,0,3,0,0,1,0,0,3,0,0,0,1
