file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil$Anonymous1,apply/1[javax.lang.model.element.VariableElement],false,211,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil$Anonymous2,apply/1[com.bumptech.glide.annotation.compiler.ParameterSpec],false,225,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil$Anonymous3,apply/1[com.bumptech.glide.annotation.compiler.ParameterSpec],false,284,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,writeIndexer/1[com.bumptech.glide.annotation.compiler.TypeSpec],false,119,2,1,1,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getParameters/1[javax.lang.model.element.ExecutableElement],false,330,2,1,2,3,1,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getAnnotations/1[javax.lang.model.element.VariableElement],false,454,2,2,3,7,1,1,1,3,1,3,1,0,0,0,0,0,1,0,1,0,0,0,13,2,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,"findClassValuesFromAnnotationOnClassAsNames/2[javax.lang.model.element.Element,java.lang.Class<? extends java.lang.annotation.Annotation>]",false,543,3,9,18,33,3,7,2,18,1,1,2,3,0,0,3,1,8,2,2,0,0,0,34,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,"computeParameterName/2[javax.lang.model.element.VariableElement,com.bumptech.glide.annotation.compiler.TypeName]",false,378,3,11,16,47,1,13,2,16,2,1,2,0,0,0,5,8,22,4,4,0,0,0,35,10,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,"generateSeeMethodJavadoc/2[com.bumptech.glide.annotation.compiler.TypeName,com.bumptech.glide.annotation.compiler.MethodSpec]",false,217,5,1,2,8,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,isLibraryGlideModule/1[javax.lang.model.element.TypeElement],false,104,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getOverrideType/1[javax.lang.model.element.ExecutableElement],false,114,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getJavadocSafeName/1[javax.lang.model.element.Element],false,255,1,2,7,9,2,3,1,7,0,0,0,1,0,0,0,0,3,0,1,0,0,0,30,2,0,true
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,ProcessorUtil/1[javax.annotation.processing.ProcessingEnvironment],true,87,0,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,dedupedParameters/1[java.util.List<com.bumptech.glide.annotation.compiler.ParameterSpec>],false,342,1,5,9,22,1,6,1,9,0,0,2,0,0,0,0,1,8,1,2,0,0,0,14,10,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,"writeClass/2[java.lang.String,com.bumptech.glide.annotation.compiler.TypeSpec]",false,123,2,2,6,9,0,0,2,6,1,2,0,0,1,0,1,0,0,1,1,0,0,0,10,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,nonNulls/0,false,498,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getSmartPrimitiveParameterName/1[javax.lang.model.element.VariableElement],false,432,0,4,7,12,3,1,1,7,0,0,1,0,0,0,4,0,1,0,2,0,0,0,11,10,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,nonNull/0,false,489,2,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,applySmartParameterNameReplacements/1[java.lang.String],false,447,0,1,3,6,1,0,1,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,6,10,0,false
/home/luana-martins/.jnose_projects/glide/annotation/compiler/src/main/java/com/bumptech/glide/annotation/compiler/ProcessorUtil.java,com.bumptech.glide.annotation.compiler.ProcessorUtil,getParameter/1[javax.lang.model.element.VariableElement],false,370,3,1,9,4,1,1,1,9,2,5,0,0,0,0,0,0,1,0,0,0,0,0,10,2,0,false
