App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
glide,GifHeaderParserTest,/home/luana-martins/.jnose_projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java,316,23,38,19,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,3
glide,GifBytesTestUtilTest,/home/luana-martins/.jnose_projects/glide/third_party/gif_decoder/src/test/java/com/bumptech/glide/gifdecoder/test/GifBytesTestUtil.java,147,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
glide,GifDecoderTest,/home/luana-martins/.jnose_projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java,240,15,15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
glide,StrictLineReaderTest,/home/luana-martins/.jnose_projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/StrictLineReader.java,105,3,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0
glide,DiskLruCacheTest,/home/luana-martins/.jnose_projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java,966,80,85,46,3,0,4,21,0,31,8,0,4,0,0,2,0,2,10,4,0,4,28
glide,CustomViewTargetTest,/home/luana-martins/.jnose_projects/glide/library/src/main/java/com/bumptech/glide/request/target/CustomViewTarget.java,703,57,6,15,0,0,17,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,18
glide,RequestManagerTest,/home/luana-martins/.jnose_projects/glide/library/src/main/java/com/bumptech/glide/RequestManager.java,301,25,2,5,3,0,14,0,0,0,0,0,5,0,0,2,0,3,0,0,0,0,7
glide,ListPreloaderTest,/home/luana-martins/.jnose_projects/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java,414,16,9,0,0,0,2,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,2
glide,EngineJobTest,/home/luana-martins/.jnose_projects/glide/library/src/main/java/com/bumptech/glide/load/engine/EngineJob.java,609,36,2,26,0,0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15
glide,EngineTest,/home/luana-martins/.jnose_projects/glide/library/src/main/java/com/bumptech/glide/load/engine/Engine.java,754,59,14,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
