App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
hutool,BitMapBloomFilterTest,/home/luana-martins/.jnose_projects/hutool/hutool-bloomFilter/src/main/java/cn/hutool/bloomfilter/BitMapBloomFilter.java,55,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hutool,EntityTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Entity.java,47,3,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
hutool,ConditionTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/Condition.java,69,4,15,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3
hutool,ConditionBuilderTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/ConditionBuilder.java,21,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,SqlBuilderTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/SqlBuilder.java,34,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hutool,SessionTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Session.java,33,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hutool,DriverUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/dialect/DriverUtil.java,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,PageTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Page.java,17,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,MetaUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/meta/MetaUtil.java,40,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,NamedSqlTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/sql/NamedSql.java,90,5,11,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3
hutool,DbTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/Db.java,101,9,12,8,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,1
hutool,PageResultTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/PageResult.java,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,RedisDSTest,/home/luana-martins/.jnose_projects/hutool/hutool-db/src/main/java/cn/hutool/db/nosql/redis/RedisDS.java,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,SystemUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-system/src/main/java/cn/hutool/system/SystemUtil.java,47,6,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,CronPatternTest,/home/luana-martins/.jnose_projects/hutool/hutool-cron/src/main/java/cn/hutool/cron/pattern/CronPattern.java,161,9,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,2
hutool,CronPatternUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-cron/src/main/java/cn/hutool/cron/pattern/CronPatternUtil.java,48,3,18,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,1
hutool,JSONArrayTest,/home/luana-martins/.jnose_projects/hutool/hutool-json/src/main/java/cn/hutool/json/JSONArray.java,227,17,39,7,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,12
hutool,JSONObjectTest,/home/luana-martins/.jnose_projects/hutool/hutool-json/src/main/java/cn/hutool/json/JSONObject.java,549,41,72,24,0,0,0,0,0,6,0,0,0,2,14,0,0,0,0,0,0,0,50
hutool,JSONStrFormatterTest,/home/luana-martins/.jnose_projects/hutool/hutool-json/src/main/java/cn/hutool/json/JSONStrFormatter.java,40,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hutool,XMLTest,/home/luana-martins/.jnose_projects/hutool/hutool-json/src/main/java/cn/hutool/json/XML.java,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,JSONUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-json/src/main/java/cn/hutool/json/JSONUtil.java,208,17,25,4,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,4
hutool,BeetlUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/template/engine/beetl/BeetlUtil.java,35,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,TemplateUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/template/TemplateUtil.java,176,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1
hutool,FtpTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/ftp/Ftp.java,83,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
hutool,CglibUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/cglib/CglibUtil.java,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,PinyinUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/pinyin/PinyinUtil.java,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hutool,MailAccountTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/mail/MailAccount.java,58,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,MailTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/mail/Mail.java,69,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
hutool,EnableSpringUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/spring/EnableSpringUtil.java,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hutool,SpringUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/spring/SpringUtil.java,72,4,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
hutool,QrCodeUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/qrcode/QrCodeUtil.java,79,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
hutool,ServletUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/servlet/ServletUtil.java,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,ArchiverTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/compress/archiver/Archiver.java,62,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
hutool,ExtractorTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/compress/extractor/Extractor.java,30,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,ExpressionUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/expression/ExpressionUtil.java,84,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
hutool,TokenizerUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/tokenizer/TokenizerUtil.java,104,11,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hutool,JschUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/ssh/JschUtil.java,84,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
hutool,EmojiUtilTest,/home/luana-martins/.jnose_projects/hutool/hutool-extra/src/main/java/cn/hutool/extra/emoji/EmojiUtil.java,28,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
