file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,class,18,12,1,20,66,0.0,0.0,12,1,11,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,134,46,0,0,0,0,0,60,82,6,0,6,0,0,0,0,57,1,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$ArrayReader,innerclass,6,5,2,4,10,0.0,0.0,5,0,0,0,4,1,5,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,0,0,0,0,0,2,0,2,0,0,0,0,20,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$TupleReader,innerclass,5,6,2,5,8,0.0,0.0,5,0,0,0,4,1,5,0,0,0,2,1,0,2,0,0,2,0,1,25,3,0,0,1,0,1,0,2,0,2,1,0,0,0,26,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$TimestampMicrosReader,innerclass,3,2,3,5,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,16,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$DateReader,innerclass,3,2,2,9,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,10,1,0,0,0,0,1,1,2,0,2,0,0,0,0,15,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$TimestampMillisReader,innerclass,3,2,3,5,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,16,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader,class,13,3,13,3,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,267,2,0,0,0,0,1,0,0,0,0,1,0,9,0,70,1,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$ReadBuilder,innerclass,31,41,2,38,0,0.0,0.0,7,0,5,0,0,2,7,0,0,0,2,0,0,2,0,0,2,0,7,136,21,2,9,0,0,3,15,31,11,30,3,0,0,0,66,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$FallbackReadBuilder,innerclass,9,4,3,14,3,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,0,0,0,0,3,7,1,6,1,0,0,0,22,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$MapReader,innerclass,5,5,2,1,10,0.0,0.0,5,0,0,0,4,1,5,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,0,0,1,0,1,0,0,0,0,15,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$BytesReader,innerclass,5,2,2,2,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,10,0
/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/IcebergPigInputFormat.java,org.apache.iceberg.pig.IcebergPigInputFormat$IcebergSplit,innerclass,5,5,2,10,0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,1,0,2,0,0,1,0,2,23,2,0,0,0,0,1,0,5,0,4,0,0,0,0,29,10,0
