file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,nestedTuples/0,false,103,6,1,4,3,0,0,0,4,1,1,0,0,0,0,6,4,0,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,mapConversions/0,false,136,10,1,9,4,0,0,0,9,1,1,0,0,0,0,8,11,0,0,0,0,0,0,19,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,"convertToPigSchema/3[org.apache.iceberg.Schema,java.lang.String,java.lang.String]",false,216,3,1,3,4,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,nestedMaps/0,false,83,7,1,5,3,0,0,0,5,1,1,0,0,0,0,3,9,0,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,testLongInBag/0,false,185,8,1,6,4,0,1,0,6,0,0,0,0,0,0,1,4,1,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,nestedBags/0,false,93,6,1,4,3,0,0,0,4,1,1,0,0,0,0,3,4,0,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,testTupleInMap/0,false,167,10,1,10,5,0,2,0,10,0,0,0,0,0,0,4,6,2,0,0,0,0,0,15,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,doubleWrappingTuples/0,false,197,8,1,7,4,0,0,0,7,1,1,0,0,0,0,7,5,0,0,0,0,0,0,23,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,testPrimitive/0,false,46,13,1,12,5,0,2,0,12,0,0,0,0,0,0,9,10,2,0,0,0,0,0,12,1,0,false
/home/luana-martins/.jnose_projects/iceberg/pig/src/test/java/org/apache/iceberg/pig/SchemaUtilTest.java,org.apache.iceberg.pig.SchemaUtilTest,testComplex/0,false,64,12,1,10,3,0,0,0,10,1,1,0,0,0,0,6,8,0,0,0,0,0,0,10,1,0,false
