App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
iceberg,SchemaUtilTest,/home/luana-martins/.jnose_projects/iceberg/pig/src/main/java/org/apache/iceberg/pig/SchemaUtil.java,220,12,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
iceberg,TestIcebergDateObjectInspectorHive3,/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergDateObjectInspectorHive3.java,66,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iceberg,TestIcebergTimestampWithZoneObjectInspectorHive3,/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergTimestampWithZoneObjectInspectorHive3.java,76,1,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
iceberg,TestIcebergTimestampObjectInspectorHive3,/home/luana-martins/.jnose_projects/iceberg/hive3/src/main/java/org/apache/iceberg/mr/hive/serde/objectinspector/IcebergTimestampObjectInspectorHive3.java,71,1,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
iceberg,TestGenericRecord,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/data/GenericRecord.java,62,3,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
iceberg,TestBaseTaskWriter,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/io/BaseTaskWriter.java,245,16,10,3,0,0,0,0,0,9,6,0,0,0,0,1,0,1,3,4,1,0,8
iceberg,TestORCSchemaUtil,/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/ORCSchemaUtil.java,482,10,11,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,2
iceberg,TestExpressionToSearchArgument,/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/ExpressionToSearchArgument.java,412,9,11,3,0,0,0,0,0,0,1,0,0,0,22,6,0,0,2,1,0,0,3
iceberg,TestIdToOrcName,/home/luana-martins/.jnose_projects/iceberg/orc/src/main/java/org/apache/iceberg/orc/IdToOrcName.java,87,1,26,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0
iceberg,TestTableReference,/home/luana-martins/.jnose_projects/iceberg/nessie/src/main/java/org/apache/iceberg/nessie/TableReference.java,142,9,36,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,4
iceberg,TestNamespace,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/catalog/Namespace.java,63,3,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0
iceberg,TestMergeAppend,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/MergeAppend.java,1252,27,20,3,0,0,0,0,0,163,0,0,0,0,0,17,0,5,14,0,1,0,2
iceberg,TestReplacePartitions,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/ReplacePartitions.java,261,12,2,0,2,0,1,0,0,11,0,0,0,0,0,2,0,2,0,0,1,0,0
iceberg,TableMetadataParserTest,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/TableMetadataParser.java,104,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
iceberg,TestRowDelta,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/RowDelta.java,632,14,0,0,0,0,0,0,0,57,4,0,0,0,0,10,0,0,0,0,0,0,0
iceberg,TestDataTableScan,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/DataTableScan.java,114,6,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,2,1,0,0
iceberg,TestPartitionSpecParser,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/PartitionSpecParser.java,126,6,8,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,1,0,1
iceberg,TestCatalogUtil,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/CatalogUtil.java,393,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
iceberg,TestFindFiles,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/FindFiles.java,211,13,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
iceberg,TestFastAppend,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/FastAppend.java,481,19,0,9,0,0,0,0,0,28,1,0,0,0,0,2,0,5,0,0,1,0,4
iceberg,TestHadoopTables,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/hadoop/HadoopTables.java,184,13,8,3,2,0,0,0,0,5,0,0,0,0,7,0,0,2,0,0,0,0,2
iceberg,TestCachingCatalog,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/CachingCatalog.java,139,3,5,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3
iceberg,TestHadoopCatalog,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/hadoop/HadoopCatalog.java,562,23,52,19,0,0,0,0,0,17,0,0,0,0,7,3,0,0,2,2,0,0,7
iceberg,TestHasIds,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/avro/HasIds.java,54,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
iceberg,TestIncrementalDataTableScan,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/IncrementalDataTableScan.java,304,19,9,0,0,0,0,0,0,8,4,0,0,0,0,3,0,0,2,2,1,0,1
iceberg,TestManifestWriter,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/ManifestWriter.java,105,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
iceberg,TestDeleteFileIndex,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/DeleteFileIndex.java,400,20,2,0,2,0,0,0,0,38,0,0,0,0,0,3,0,2,1,0,1,0,1
iceberg,TestMetricsModes,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/MetricsModes.java,78,5,8,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
iceberg,TestBinPacking,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/util/BinPacking.java,201,10,0,0,0,0,0,0,0,37,0,0,0,0,0,3,0,0,0,0,0,0,1
iceberg,TestDeleteFiles,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/DeleteFiles.java,75,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
iceberg,TestNameMapping,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/mapping/NameMapping.java,248,11,16,2,0,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,4
iceberg,TestTableMetadata,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/TableMetadata.java,752,31,5,12,0,0,0,0,0,29,0,0,0,0,4,7,0,0,1,0,0,0,27
iceberg,TestManifestReader,/home/luana-martins/.jnose_projects/iceberg/core/src/main/java/org/apache/iceberg/ManifestReader.java,148,9,16,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,6,1,0,1
iceberg,TestTransaction,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/Transaction.java,702,18,0,0,0,0,0,0,0,71,0,0,0,0,0,10,0,5,15,1,1,0,3
iceberg,TestRewriteFiles,/home/luana-martins/.jnose_projects/iceberg/api/src/main/java/org/apache/iceberg/RewriteFiles.java,609,16,0,0,0,0,0,0,0,34,0,0,0,0,0,9,0,6,0,0,1,0,2
