App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
java-design-patterns,CombinatorAppTest,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/CombinatorApp.java,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,FindersTest,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java,83,5,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,FinderTest,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java,40,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,NewArithmeticTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/NewArithmetic.java,51,4,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
java-design-patterns,OldArithmeticTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/OldArithmetic.java,45,3,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
java-design-patterns,NewSourceTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/NewSource.java,51,4,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,HalfArithmeticTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/HalfArithmetic.java,51,4,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
java-design-patterns,HalfSourceTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/HalfSource.java,46,3,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
java-design-patterns,OldSourceTest,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/OldSource.java,45,3,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
java-design-patterns,ServiceLocatorTest,/home/luana-martins/.jnose_projects/java-design-patterns/service-locator/src/main/java/com/iluwatar/servicelocator/ServiceLocator.java,68,2,6,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,ImageControllerTest,/home/luana-martins/.jnose_projects/java-design-patterns/api-gateway/image-microservice/src/main/java/com/iluwatar/image/microservice/ImageController.java,41,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,PriceControllerTest,/home/luana-martins/.jnose_projects/java-design-patterns/api-gateway/price-microservice/src/main/java/com/iluwatar/price/microservice/PriceController.java,41,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,ApiGatewayTest,/home/luana-martins/.jnose_projects/java-design-patterns/api-gateway/api-gateway-service/src/main/java/com/iluwatar/api/gateway/ApiGateway.java,82,6,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
java-design-patterns,AlchemistShopTest,/home/luana-martins/.jnose_projects/java-design-patterns/flyweight/src/main/java/com/iluwatar/flyweight/AlchemistShop.java,61,1,6,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,AppConfigTest,/home/luana-martins/.jnose_projects/java-design-patterns/repository/src/main/java/com/iluwatar/repository/AppConfig.java,71,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,ConverterTest,/home/luana-martins/.jnose_projects/java-design-patterns/converter/src/main/java/com/iluwatar/converter/Converter.java,97,5,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,38,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,FilterManagerTest,/home/luana-martins/.jnose_projects/java-design-patterns/intercepting-filter/src/main/java/com/iluwatar/intercepting/filter/FilterManager.java,69,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,OrderTest,/home/luana-martins/.jnose_projects/java-design-patterns/commander/src/main/java/com/iluwatar/commander/Order.java,74,6,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
java-design-patterns,FilterTest,/home/luana-martins/.jnose_projects/java-design-patterns/intercepting-filter/src/main/java/com/iluwatar/intercepting/filter/Filter.java,104,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,WriterTest,/home/luana-martins/.jnose_projects/java-design-patterns/reader-writer-lock/src/main/java/com/iluwatar/reader/writer/lock/Writer.java,88,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
java-design-patterns,ReaderTest,/home/luana-martins/.jnose_projects/java-design-patterns/reader-writer-lock/src/main/java/com/iluwatar/reader/writer/lock/Reader.java,87,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,DefaultCircuitBreakerTest,/home/luana-martins/.jnose_projects/java-design-patterns/circuit-breaker/src/main/java/com/iluwatar/circuitbreaker/DefaultCircuitBreaker.java,83,3,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2
java-design-patterns,MonitoringServiceTest,/home/luana-martins/.jnose_projects/java-design-patterns/circuit-breaker/src/main/java/com/iluwatar/circuitbreaker/MonitoringService.java,79,4,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
java-design-patterns,DelayedRemoteServiceTest,/home/luana-martins/.jnose_projects/java-design-patterns/circuit-breaker/src/main/java/com/iluwatar/circuitbreaker/DelayedRemoteService.java,59,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,135,11,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
java-design-patterns,WashingMachineTest,/home/luana-martins/.jnose_projects/java-design-patterns/balking/src/main/java/com/iluwatar/balking/WashingMachine.java,71,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,HalflingThiefTest,/home/luana-martins/.jnose_projects/java-design-patterns/template-method/src/main/java/com/iluwatar/templatemethod/HalflingThief.java,73,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,StealingMethodTest,/home/luana-martins/.jnose_projects/java-design-patterns/template-method/src/main/java/com/iluwatar/templatemethod/StealingMethod.java,173,14,11,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,1,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,CharacterTest,/home/luana-martins/.jnose_projects/java-design-patterns/step-builder/src/main/java/com/iluwatar/stepbuilder/Character.java,125,5,17,1,0,0,0,0,0,0,2,0,0,5,3,0,0,0,2,0,0,0,1
java-design-patterns,SimpleObjectsTest,/home/luana-martins/.jnose_projects/java-design-patterns/naked-objects/dom/src/main/java/domainapp/dom/modules/simple/SimpleObjects.java,106,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,SimpleObjectTest,/home/luana-martins/.jnose_projects/java-design-patterns/naked-objects/dom/src/main/java/domainapp/dom/modules/simple/SimpleObject.java,57,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,SagaApplicationTest,/home/luana-martins/.jnose_projects/java-design-patterns/saga/src/main/java/com/iluwatar/saga/choreography/SagaApplication.java,37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,SagaOrchestratorTest,/home/luana-martins/.jnose_projects/java-design-patterns/saga/src/main/java/com/iluwatar/saga/orchestration/SagaOrchestrator.java,62,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,SagaApplicationTest,/home/luana-martins/.jnose_projects/java-design-patterns/saga/src/main/java/com/iluwatar/saga/choreography/SagaApplication.java,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,WorkerTest,/home/luana-martins/.jnose_projects/java-design-patterns/leader-followers/src/main/java/com/iluwatar/leaderfollowers/Worker.java,54,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,TaskTest,/home/luana-martins/.jnose_projects/java-design-patterns/queue-load-leveling/src/main/java/com/iluwatar/queue/load/leveling/Task.java,145,9,4,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0
java-design-patterns,BookRepositoryTest,/home/luana-martins/.jnose_projects/java-design-patterns/version-number/src/main/java/com/iluwatar/versionnumber/BookRepository.java,87,6,11,2,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,2
java-design-patterns,AppTest,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-design-patterns,LotteryTicketTest,/home/luana-martins/.jnose_projects/java-design-patterns/hexagonal/src/main/java/com/iluwatar/hexagonal/domain/LotteryTicket.java,51,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java-design-patterns,LotteryTicketIdTest,/home/luana-martins/.jnose_projects/java-design-patterns/hexagonal/src/main/java/com/iluwatar/hexagonal/domain/LotteryTicketId.java,46,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
