projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;advancedFinderTest;39;39
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;advancedFinderTest;40;40
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;filteredFinderTest;46;46
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;filteredFinderTest;47;47
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;specializedFinderTest;53;53
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;specializedFinderTest;54;54
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;expandedFinderTest;60;60
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;expandedFinderTest;61;61
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;expandedFinderTest;62;62
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Magic Number Test;expandedFinderTest;63;63
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;advancedFinderTest;39-39;39-39
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;advancedFinderTest;40-40;40-40
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;filteredFinderTest;46-46;46-46
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;filteredFinderTest;47-47;47-47
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;specializedFinderTest;53-53;53-53
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;specializedFinderTest;54-54;54-54
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;expandedFinderTest;60-60;60-60
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;expandedFinderTest;61-61;61-61
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;expandedFinderTest;62-62;62-62
java-design-patterns;FindersTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java;JUnit5;83;5;Assertion Roulette;expandedFinderTest;63-63;63-63
java-design-patterns;FinderTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FinderTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java;JUnit5;40;1;Magic Number Test;contains;37;37
java-design-patterns;FinderTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FinderTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java;JUnit5;40;1;Magic Number Test;contains;38;38
java-design-patterns;FinderTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FinderTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java;JUnit5;40;1;Assertion Roulette;contains;37-37;37-37
java-design-patterns;FinderTest;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FinderTest.java;/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java;JUnit5;40;1;Assertion Roulette;contains;38-38;38-38
