file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,class,14,14,1,14,3,0.0,0.0,6,0,4,2,0,0,4,0,0,0,4,0,0,4,0,0,3,0,5,103,2,0,8,0,0,61,1,30,24,31,1,0,0,0,50,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,class,14,14,1,14,3,0.0,0.0,6,0,4,2,0,0,4,0,0,0,5,0,0,5,0,0,4,0,5,100,2,0,8,0,0,52,1,32,24,33,1,0,0,0,53,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,class,14,14,1,14,3,0.0,0.0,6,0,4,2,0,0,4,0,0,0,5,0,0,5,0,0,4,0,5,100,2,0,8,0,0,52,3,31,24,32,1,0,0,0,54,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/SecurityToolsTest.java,org.jeecg.SecurityToolsTest,class,8,1,1,17,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,8,1,7,0,7,0,0,0,0,20,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/JeecgSystemApplication.java,org.jeecg.JeecgSystemApplication,class,8,2,2,8,1,0.0,0.0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,0,13,0,5,2,5,0,0,0,0,25,1,1
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/JeecgOneToMainUtil.java,org.jeecg.JeecgOneToMainUtil,class,3,2,1,9,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,14,0,4,0,4,1,0,0,0,20,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/SystemInitListener.java,org.jeecg.config.init.SystemInitListener,class,9,3,1,5,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,2,2,0,0,1,1,0,0,0,18,1,1
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/TomcatFactoryConfig.java,org.jeecg.config.init.TomcatFactoryConfig$Anonymous1,anonymous,2,1,1,2,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,-1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/TomcatFactoryConfig.java,org.jeecg.config.init.TomcatFactoryConfig,class,3,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,4,0,1,0,2,1,1,0,1,11,1,0
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/CodeGenerateDbConfig.java,org.jeecg.config.init.CodeGenerateDbConfig,class,5,2,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,13,1,0,0,0,0,5,0,0,0,4,1,0,0,0,13,1,1
