file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,testAdd/0,false,42,7,3,8,25,0,6,0,8,2,1,0,2,0,0,21,0,6,6,1,0,0,0,24,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,testDelete/0,false,121,7,3,7,17,0,6,0,7,2,1,0,2,0,0,8,0,6,5,1,0,0,0,21,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,getToken/0,false,173,2,1,3,6,1,1,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,testEdit/0,false,81,7,3,8,25,0,7,0,8,2,1,0,2,0,0,19,0,7,6,1,0,0,0,26,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,testQuery/0,false,150,7,3,7,16,0,5,0,7,2,1,0,2,0,0,6,0,5,5,1,0,0,0,19,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/system/test/SysUserTest.java,org.jeecg.modules.system.test.SysUserTest,getHeaders/1[java.lang.String],false,180,1,1,3,8,1,2,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,getHeaders/1[java.lang.String],false,183,1,1,3,8,1,2,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,getToken/0,false,176,2,1,3,6,1,1,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,testDelete/0,false,122,7,3,7,17,0,6,0,7,2,1,0,2,0,0,7,0,6,5,1,0,0,0,26,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,testEdit/0,false,84,7,3,8,23,0,7,0,8,2,1,0,2,0,0,16,0,7,6,1,0,0,0,30,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,testQuery/0,false,151,7,3,7,17,0,6,0,7,2,1,0,2,0,0,7,0,6,5,1,0,0,0,26,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/DesformApiTest.java,org.jeecg.modules.online.desform.test.DesformApiTest,testAdd/0,false,48,7,3,8,22,0,6,0,8,2,1,0,2,0,0,14,0,6,6,1,0,0,0,28,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,getHeaders/1[java.lang.String],false,182,1,1,3,8,1,2,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,getToken/0,false,175,2,1,3,6,1,1,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,testDelete/0,false,123,7,3,7,17,0,6,0,7,2,1,0,2,0,0,8,0,6,5,1,0,0,0,26,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,testEdit/0,false,84,7,3,8,24,0,7,0,8,2,1,0,2,0,0,16,1,7,6,1,0,0,0,30,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,testAdd/0,false,48,7,3,8,22,0,6,0,8,2,1,0,2,0,0,14,1,6,6,1,0,0,0,28,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/modules/online/desform/test/OnlineApiTest.java,org.jeecg.modules.online.desform.test.OnlineApiTest,testQuery/0,false,152,7,3,7,16,0,5,0,7,2,1,0,2,0,0,6,0,5,5,1,0,0,0,24,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/test/java/org/jeecg/SecurityToolsTest.java,org.jeecg.SecurityToolsTest,Test/0,false,10,8,1,17,22,0,7,0,17,0,0,0,0,0,0,8,1,7,0,0,0,0,0,19,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/JeecgSystemApplication.java,org.jeecg.JeecgSystemApplication,configure/1[org.jeecg.SpringApplicationBuilder],false,28,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/JeecgSystemApplication.java,org.jeecg.JeecgSystemApplication,main/1[java.lang.String[]],false,32,4,1,7,8,0,5,1,7,0,0,0,0,0,0,13,0,5,2,0,0,0,0,19,9,1,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/JeecgOneToMainUtil.java,org.jeecg.JeecgOneToMainUtil,main/1[java.lang.String[]],false,23,3,2,9,29,0,4,1,9,0,0,0,0,1,0,14,0,4,0,1,0,0,0,18,9,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/SystemInitListener.java,org.jeecg.config.init.SystemInitListener,getOrder/0,false,38,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/SystemInitListener.java,org.jeecg.config.init.SystemInitListener,onApplicationEvent/1[org.jeecg.config.init.ApplicationReadyEvent],false,28,2,2,5,6,0,0,1,5,0,0,0,0,0,0,2,1,0,0,1,0,0,0,5,1,1,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/TomcatFactoryConfig.java,org.jeecg.config.init.TomcatFactoryConfig$Anonymous1,postProcessContext/1[org.jeecg.config.init.Context],false,23,2,1,2,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/TomcatFactoryConfig.java,org.jeecg.config.init.TomcatFactoryConfig,tomcatFactory/0,false,20,2,1,2,14,1,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,0,1,17,1,0,true
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/init/CodeGenerateDbConfig.java,org.jeecg.config.init.CodeGenerateDbConfig,initCodeGenerateDbConfig/0,false,31,2,2,3,7,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,1,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/jimureport/JimuReportTokenService.java,org.jeecg.config.jimureport.JimuReportTokenService,getUsername/1[java.lang.String],false,37,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/jimureport/JimuReportTokenService.java,org.jeecg.config.jimureport.JimuReportTokenService,getUserInfo/1[java.lang.String],false,47,3,1,5,8,1,3,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/jimureport/JimuReportTokenService.java,org.jeecg.config.jimureport.JimuReportTokenService,getToken/1[org.jeecg.config.jimureport.HttpServletRequest],false,32,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/config/jimureport/JimuReportTokenService.java,org.jeecg.config.jimureport.JimuReportTokenService,verifyToken/1[java.lang.String],false,42,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/service/ISysMessageTemplateService.java,org.jeecg.modules.message.service.ISysMessageTemplateService,selectByCode/1[java.lang.String],false,15,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/service/impl/SysMessageTemplateServiceImpl.java,org.jeecg.modules.message.service.impl.SysMessageTemplateServiceImpl,selectByCode/1[java.lang.String],false,25,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgStatusEnum.java,org.jeecg.modules.message.handle.enums.SendMsgStatusEnum,getCode/0,false,17,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgStatusEnum.java,org.jeecg.modules.message.handle.enums.SendMsgStatusEnum,SendMsgStatusEnum/1[java.lang.String],true,13,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgStatusEnum.java,org.jeecg.modules.message.handle.enums.SendMsgStatusEnum,setStatusCode/1[java.lang.String],false,21,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgTypeEnum.java,org.jeecg.modules.message.handle.enums.SendMsgTypeEnum,getImplClass/0,false,32,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgTypeEnum.java,org.jeecg.modules.message.handle.enums.SendMsgTypeEnum,setImplClass/1[java.lang.String],false,36,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgTypeEnum.java,org.jeecg.modules.message.handle.enums.SendMsgTypeEnum,setType/1[java.lang.String],false,28,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/luana-martins/.jnose_projects/jeecg-boot/jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/message/handle/enums/SendMsgTypeEnum.java,org.jeecg.modules.message.handle.enums.SendMsgTypeEnum,getByType/1[java.lang.String],false,40,2,4,4,11,3,0,1,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0,10,9,0,false
