file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/xml/XMLUtilsTest.java,jenkins.xml.XMLUtilsTest,class,4,6,1,13,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,2,0,46,0,8,3,8,1,0,0,0,88,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/labels/LabelAutoCompleteSeederTest.java,jenkins.model.labels.LabelAutoCompleteSeederTest,class,4,2,1,5,1,0.0,0.0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,9,1,0,0,0,0,28,0,1,0,1,0,0,0,0,17,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/CoreEnvironmentContributorTest.java,jenkins.model.CoreEnvironmentContributorTest,class,15,3,1,11,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,1,0,4,0,0,2,24,0,0,0,0,0,7,1,3,0,6,0,0,0,0,37,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java,jenkins.model.JenkinsGetRootUrlTest,class,13,17,1,31,83,0.0,0.0,14,0,8,6,0,0,8,0,0,0,2,0,0,2,0,0,0,0,1,103,1,0,1,1,1,57,3,5,0,5,1,1,0,0,60,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java,jenkins.model.JenkinsGetRootUrlTest$Anonymous1,anonymous,2,2,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,0,1,0,2,2,0,2,0,0,0,0,12,-1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/RunIdMigratorTest.java,jenkins.model.RunIdMigratorTest,class,10,20,1,38,0,0.0,0.0,15,3,11,4,0,0,11,0,0,0,3,0,1,2,0,0,0,0,21,142,2,1,1,1,0,77,3,24,3,15,2,0,0,0,92,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/IdStrategyTest.java,jenkins.model.IdStrategyTest,class,6,25,1,10,91,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,268,22,16,0,16,0,0,0,0,28,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/NewViewLinkTest.java,jenkins.model.NewViewLinkTest,class,8,4,1,18,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,1,0,0,35,0,0,0,0,0,3,5,10,2,10,0,0,0,0,35,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/AbstractLazyLoadRunMapTest.java,jenkins.model.lazy.AbstractLazyLoadRunMapTest$Anonymous1$Anonymous2,anonymous,2,1,1,1,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/AbstractLazyLoadRunMapTest.java,jenkins.model.lazy.AbstractLazyLoadRunMapTest$Anonymous1,anonymous,3,2,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7,-1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/AbstractLazyLoadRunMapTest.java,jenkins.model.lazy.AbstractLazyLoadRunMapTest$Anonymous3$Anonymous4,anonymous,1,2,1,6,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,1,0,1,1,0,0,0,10,-1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/AbstractLazyLoadRunMapTest.java,jenkins.model.lazy.AbstractLazyLoadRunMapTest,class,10,33,1,52,0,0.0,0.0,24,1,24,0,0,0,24,0,0,0,10,0,5,5,0,0,3,0,2,256,0,3,0,2,3,42,129,37,0,33,1,2,0,2,115,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/AbstractLazyLoadRunMapTest.java,jenkins.model.lazy.AbstractLazyLoadRunMapTest$Anonymous3,anonymous,3,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/FakeMap.java,jenkins.model.lazy.FakeMap,class,2,3,3,4,3,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,16,1,0
/home/luana-martins/.jnose_projects/jenkins/core/src/test/java/jenkins/model/lazy/FakeMap.java,jenkins.model.lazy.Build,class,0,4,1,1,0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,12,1,0,1,0,0,2,0,1,1,1,0,0,0,0,8,0,0
