App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
jenkins,XMLUtilsTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/util/xml/XMLUtils.java,135,4,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1
jenkins,LabelAutoCompleteSeederTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/labels/LabelAutoCompleteSeeder.java,70,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenkins,CoreEnvironmentContributorTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/CoreEnvironmentContributor.java,71,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
jenkins,RunIdMigratorTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/RunIdMigrator.java,210,18,23,2,5,0,0,0,0,3,0,0,2,0,0,0,0,6,2,1,0,0,5
jenkins,IdStrategyTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/IdStrategy.java,240,14,109,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,1,0,0,0,4
jenkins,NewViewLinkTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/NewViewLink.java,69,8,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
jenkins,AbstractLazyLoadRunMapTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/lazy/AbstractLazyLoadRunMap.java,417,34,92,6,0,0,0,1,0,64,3,0,2,0,26,2,0,0,10,2,0,0,7
jenkins,SortedListTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/lazy/SortedList.java,123,8,44,2,0,0,0,0,0,40,1,0,0,0,0,0,0,0,2,0,0,0,3
jenkins,SortedIntListTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/lazy/SortedIntList.java,50,3,16,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2
jenkins,JenkinsLocationConfigurationTest,/home/luana-martins/.jnose_projects/jenkins/core/src/main/java/jenkins/model/JenkinsLocationConfiguration.java,89,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
