file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGeneratorLoader.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGeneratorLoader$FreeTypeFontGeneratorParameters,innerclass,2,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGeneratorLoader.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGeneratorLoader,class,9,4,4,4,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,1,0,3,0,1,1,0,1,0,29,1,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGenerator.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator$FreeTypeBitmapFontData,innerclass,12,15,2,17,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,0,1,1,0,5,0,0,2,47,2,1,8,0,2,0,6,13,2,16,4,0,0,0,66,9,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGenerator.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator$FreeTypeFontParameter,innerclass,4,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,25,0,0,0,0,0,0,11,19,0,27,0,0,0,0,183,9,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGenerator.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator,class,35,131,2,88,131,0.0,0.0,22,2,15,4,2,1,18,0,0,0,8,3,2,2,0,4,5,0,31,512,22,15,36,1,29,9,90,200,54,117,6,0,4,0,322,1,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGenerator.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator$GlyphAndBitmap,innerclass,3,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeTypeFontGenerator.java,com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator$Hinting,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreetypeFontLoader.java,com.badlogic.gdx.graphics.g2d.freetype.FreetypeFontLoader$FreeTypeFontLoaderParameter,innerclass,3,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,21,9,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreetypeFontLoader.java,com.badlogic.gdx.graphics.g2d.freetype.FreetypeFontLoader,class,10,6,4,3,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,2,0,0,4,0,3,2,3,1,0,1,0,53,1,0
/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-freetype/src/com/badlogic/gdx/graphics/g2d/freetype/FreeType.java,com.badlogic.gdx.graphics.g2d.freetype.FreeType$GlyphSlot,innerclass,7,24,2,12,253,0.0,0.0,23,11,11,11,0,1,12,0,0,0,0,0,0,0,0,0,0,0,12,51,11,0,1,0,0,1,1,1,1,1,1,0,0,0,29,9,0
