App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
libgdx,QueueTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/Queue.java,387,14,44,12,0,0,0,0,0,64,33,0,0,0,3,4,0,0,10,3,0,0,12
libgdx,FlushablePoolTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/FlushablePool.java,126,8,19,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,4
libgdx,BitsTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/Bits.java,88,4,12,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,3
libgdx,AtomicQueueTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/AtomicQueue.java,52,3,10,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2
libgdx,PooledLinkedListTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java,77,8,17,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4
libgdx,LongQueueTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/utils/LongQueue.java,310,12,41,10,0,0,0,0,0,55,25,0,0,0,3,3,0,0,5,3,0,0,9
libgdx,IntersectorTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Intersector.java,188,4,41,1,0,0,0,0,0,32,0,0,0,0,0,3,0,0,13,0,0,0,0
libgdx,Vector2Test,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Vector2.java,38,6,6,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3
libgdx,RectangleTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Rectangle.java,18,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
libgdx,Vector3Test,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Vector3.java,18,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
libgdx,Shape2DTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Shape2D.java,38,2,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
libgdx,BezierTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/Bezier.java,95,10,7,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
libgdx,CollisionTest,/home/luana-martins/.jnose_projects/libgdx/extensions/gdx-bullet/jni/swig-src/collision/com/badlogic/gdx/physics/bullet/collision/Collision.java,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgdx,MathUtilsTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/math/MathUtils.java,62,6,23,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1
libgdx,AnimationControllerTest,/home/luana-martins/.jnose_projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/AnimationController.java,126,6,11,2,0,0,0,0,0,11,0,0,0,0,0,2,0,0,2,0,0,0,4
