App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
mybatis-3,PluginTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/plugin/Plugin.java,51,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mybatis-3,UnpooledDataSourceTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/unpooled/UnpooledDataSource.java,69,3,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
mybatis-3,JndiDataSourceFactoryTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/jndi/JndiDataSourceFactory.java,104,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,ExceptionUtilTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/ExceptionUtil.java,37,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,ArrayUtilTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/ArrayUtil.java,109,3,46,0,0,0,0,0,0,4,0,0,0,3,21,0,0,0,0,0,0,0,0
mybatis-3,MetaClassTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/MetaClass.java,144,8,53,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4
mybatis-3,TypeParameterResolverTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/TypeParameterResolver.java,460,40,101,15,0,0,0,0,0,18,0,0,0,34,0,1,0,0,1,0,0,0,78
mybatis-3,ReflectorTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/Reflector.java,324,23,36,5,0,0,1,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0,31
mybatis-3,DefaultObjectFactoryTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/factory/DefaultObjectFactory.java,97,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
mybatis-3,MetaObjectTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/reflection/MetaObject.java,295,24,65,23,0,0,0,0,0,8,4,0,0,0,0,1,0,0,2,0,0,0,7
mybatis-3,ScriptRunnerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/ScriptRunner.java,288,16,5,11,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,7,0,0,7
mybatis-3,SelectBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/SelectBuilder.java,117,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,NullTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/Null.java,33,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,SQLTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/SQL.java,435,38,36,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
mybatis-3,PooledDataSourceTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PooledDataSource.java,147,5,9,3,0,1,3,0,0,8,2,0,0,0,1,2,0,0,0,1,0,0,9
mybatis-3,SqlRunnerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/SqlRunner.java,111,6,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3
mybatis-3,SqlBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/jdbc/SqlBuilder.java,116,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,BaseJdbcLoggerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/jdbc/BaseJdbcLogger.java,58,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mybatis-3,ConnectionLoggerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/jdbc/ConnectionLogger.java,74,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,StatementLoggerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/jdbc/StatementLogger.java,76,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,PreparedStatementLoggerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/jdbc/PreparedStatementLogger.java,98,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,ResultSetLoggerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/jdbc/ResultSetLogger.java,70,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,LogFactoryTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/logging/LogFactory.java,109,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
mybatis-3,FlushTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/annotations/Flush.java,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,XmlConfigBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLConfigBuilder.java,316,11,82,5,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,4
mybatis-3,XmlMapperBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLMapperBuilder.java,224,16,14,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2
mybatis-3,SqlSourceBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/SqlSourceBuilder.java,56,6,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
mybatis-3,ParameterExpressionTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/ParameterExpression.java,149,14,48,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,2,0,0,1
mybatis-3,ExpressionEvaluatorTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/scripting/xmltags/ExpressionEvaluator.java,89,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
mybatis-3,DynamicSqlSourceTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/scripting/xmltags/DynamicSqlSource.java,415,28,34,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
mybatis-3,XmlConfigBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLConfigBuilder.java,165,2,72,2,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,2,0,0,2
mybatis-3,XmlMapperBuilderTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLMapperBuilder.java,54,1,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
mybatis-3,PropertyParserTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/parsing/PropertyParser.java,83,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
mybatis-3,XPathParserTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/parsing/XPathParser.java,259,22,26,2,0,0,16,0,0,1,0,0,0,1,1,1,0,0,0,8,0,0,2
mybatis-3,ArrayTypeHandlerTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/type/ArrayTypeHandler.java,85,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
mybatis-3,InsertTest,/home/luana-martins/.jnose_projects/mybatis-3/src/main/java/org/apache/ibatis/annotations/Insert.java,106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
