App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
nacos,ClassUtilsTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/ClassUtils.java,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,StandaloneProfileApplicationListenerTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/code/StandaloneProfileApplicationListener.java,55,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,AbstractProcessorTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/distributed/raft/processor/AbstractProcessor.java,76,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,JRaftServerTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/distributed/raft/JRaftServer.java,316,24,5,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0
nacos,JRaftProtocolTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/distributed/raft/JRaftProtocol.java,119,14,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nacos,MemberUtilTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/cluster/MemberUtil.java,253,20,26,3,0,0,0,0,0,7,0,0,3,0,0,1,0,0,1,0,0,0,3
nacos,ServerMemberManagerTest,/home/luana-martins/.jnose_projects/nacos/core/src/main/java/com/alibaba/nacos/core/cluster/ServerMemberManager.java,111,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
nacos,NacosDefaultPropertySourceEnvironmentPostProcessorTest,/home/luana-martins/.jnose_projects/nacos/sys/src/main/java/com/alibaba/nacos/sys/env/NacosDefaultPropertySourceEnvironmentPostProcessor.java,105,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,PushServiceTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/push/PushService.java,82,3,5,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
nacos,ClusterTest,/home/luana-martins/.jnose_projects/nacos/api/src/main/java/com/alibaba/nacos/api/naming/pojo/Cluster.java,174,11,35,2,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,3
nacos,InstancesTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/core/Instances.java,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,InstanceTest,/home/luana-martins/.jnose_projects/nacos/api/src/main/java/com/alibaba/nacos/api/naming/pojo/Instance.java,134,8,48,3,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,5
nacos,SubscribeManagerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/core/SubscribeManager.java,142,7,9,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,3,0,0,1
nacos,ServiceTest,/home/luana-martins/.jnose_projects/nacos/api/src/main/java/com/alibaba/nacos/api/naming/pojo/Service.java,122,6,38,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,1,0
nacos,ServiceManagerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/core/ServiceManager.java,460,37,67,18,0,0,6,0,0,28,4,0,1,0,0,1,0,0,6,0,0,0,8
nacos,RaftStoreTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/raft/RaftStore.java,60,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
nacos,SubscriberTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/notify/listener/Subscriber.java,59,1,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
nacos,UtilsAndCommonsTest,/home/luana-martins/.jnose_projects/nacos/cmdb/src/main/java/com/alibaba/nacos/cmdb/utils/UtilsAndCommons.java,47,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
nacos,ServiceControllerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/controllers/ServiceController.java,75,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nacos,CatalogControllerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/controllers/CatalogController.java,123,13,19,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,1
nacos,ClusterControllerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/controllers/ClusterController.java,132,6,8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
nacos,InstanceControllerTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/controllers/InstanceController.java,255,10,28,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
nacos,ClusterVersionJudgementTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/ClusterVersionJudgement.java,151,20,4,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,3
nacos,PersistentConsistencyServiceDelegateImplTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/PersistentConsistencyServiceDelegateImpl.java,145,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,RaftPeerSetTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/raft/RaftPeerSet.java,117,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
nacos,NamingSnapshotOperationTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/impl/NamingSnapshotOperation.java,93,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,DistroConsistencyServiceImplTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/ephemeral/distro/DistroConsistencyServiceImpl.java,126,15,2,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
nacos,DelegateConsistencyServiceImplTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/consistency/DelegateConsistencyServiceImpl.java,134,18,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
nacos,ClientBeatCheckTaskTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/healthcheck/ClientBeatCheckTask.java,146,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nacos,LabelSelectorTest,/home/luana-martins/.jnose_projects/nacos/naming/src/main/java/com/alibaba/nacos/naming/selector/LabelSelector.java,43,2,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,SerializerTest,/home/luana-martins/.jnose_projects/nacos/consistency/src/main/java/com/alibaba/nacos/consistency/Serializer.java,81,6,16,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
nacos,MediaTypeTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/http/param/MediaType.java,62,3,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
nacos,HeaderTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/http/param/Header.java,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,QueryTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/http/param/Query.java,43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,IPUtilTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/IPUtil.java,131,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,VersionUtilsTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/VersionUtils.java,66,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
nacos,NamespaceUtilTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/NamespaceUtil.java,47,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,MD5UtilsTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/MD5Utils.java,45,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nacos,MapUtilsTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/utils/MapUtils.java,66,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
nacos,NacosDelayTaskExecuteEngineTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/task/engine/NacosDelayTaskExecuteEngine.java,113,11,6,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2
nacos,NacosExecuteTaskExecuteEngineTest,/home/luana-martins/.jnose_projects/nacos/common/src/main/java/com/alibaba/nacos/common/task/engine/NacosExecuteTaskExecuteEngine.java,60,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
