file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/NewPipe/app/src/androidTest/java/org/schabi/newpipe/error/ErrorInfoTest.java,org.schabi.newpipe.error.ErrorInfoTest,class,8,1,1,18,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,3,2,3,0,3,0,0,0,0,16,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/debug/java/org/schabi/newpipe/settings/DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,class,4,3,3,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,2,0,0,0,0,2,0,4,1,0,0,2,31,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/error/ErrorActivityTest.java,org.schabi.newpipe.error.ErrorActivityTest,class,5,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,5,0,1,0,0,0,0,12,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/util/ListHelperTest.java,org.schabi.newpipe.util.ListHelperTest,class,4,13,1,14,41,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,4,0,4,0,0,4,0,59,138,0,3,0,0,0,156,68,40,0,20,1,0,0,0,47,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/util/QuadraticSliderStrategyTest.java,org.schabi.newpipe.util.QuadraticSliderStrategyTest,class,2,19,1,5,0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,2,0,3,0,0,3,0,4,54,0,0,0,0,0,0,58,12,5,12,0,0,0,0,37,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/local/subscription/services/ImportExportJsonHelperTest.java,org.schabi.newpipe.local.subscription.services.ImportExportJsonHelperTest,class,6,17,1,22,15,0.0,0.0,6,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,67,3,2,5,1,1,14,1,18,1,18,3,0,0,0,68,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/settings/tabs/TabTest.java,org.schabi.newpipe.settings.tabs.TabTest,class,2,2,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,1,0,2,1,2,1,0,0,0,13,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/test/java/org/schabi/newpipe/settings/tabs/TabsJsonHelperTest.java,org.schabi.newpipe.settings.tabs.TabsJsonHelperTest,class,13,8,1,39,3,0.0,0.0,6,0,5,1,0,0,5,0,0,0,2,2,0,2,0,0,2,0,21,74,1,1,0,1,0,23,10,31,3,29,2,0,0,0,65,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/com/google/android/material/appbar/FlingBehavior.java,com.google.android.material.appbar.FlingBehavior,class,12,27,2,26,24,0.0,0.0,9,0,5,4,0,0,5,0,0,0,4,0,0,4,0,0,3,0,1,102,11,1,7,3,2,2,3,19,1,16,3,0,0,0,69,17,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManagerService.java,us.shandian.giga.service.DownloadManagerService,class,38,77,3,103,85,0.0,0.0,18,1,8,10,0,0,8,0,0,0,46,21,5,41,0,0,24,0,4,390,17,2,23,3,0,29,24,103,8,75,3,2,1,1,196,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManagerService.java,us.shandian.giga.service.DownloadManagerService$Anonymous2,anonymous,3,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManagerService.java,us.shandian.giga.service.DownloadManagerService$DownloadManagerBinder,innerclass,5,12,2,7,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,38,5,1,3,0,0,0,2,2,0,0,2,0,0,0,45,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManagerService.java,us.shandian.giga.service.DownloadManagerService$Anonymous1,anonymous,2,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/MissionState.java,us.shandian.giga.service.MissionState,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManager.java,us.shandian.giga.service.DownloadManager$NetworkState,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManager.java,us.shandian.giga.service.DownloadManager$MissionItem,innerclass,1,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,9,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManager.java,us.shandian.giga.service.DownloadManager$MissionIterator,innerclass,7,30,2,12,5,0.0,0.0,14,0,12,2,0,0,12,0,0,0,6,0,0,0,0,6,2,0,0,93,14,1,5,0,2,0,6,24,0,18,3,0,0,1,80,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/service/DownloadManager.java,us.shandian.giga.service.DownloadManager,class,17,136,2,79,174,0.0,0.0,28,4,10,10,0,8,18,0,0,0,19,7,5,9,0,5,12,0,18,464,45,13,18,3,1,21,18,64,10,40,5,0,3,0,171,1,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/postprocessing/OggFromWebmDemuxer.java,us.shandian.giga.postprocessing.OggFromWebmDemuxer,class,4,5,2,7,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,0,1,6,2,0,2,1,0,0,0,38,0,0
/home/luana-martins/.jnose_projects/NewPipe/app/src/main/java/us/shandian/giga/postprocessing/Mp4FromDashMuxer.java,us.shandian.giga.postprocessing.Mp4FromDashMuxer,class,3,2,2,3,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,1,0,1,0,0,0,0,24,0,0
