file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,class,5,25,1,46,103,0.0,0.0,15,0,15,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,9,169,0,0,0,7,2,224,20,44,25,44,2,0,0,0,423,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,class,9,14,1,59,29,0.0,0.0,10,1,6,4,0,0,6,0,0,0,3,0,1,2,0,0,0,0,13,104,6,0,4,2,0,6,8,32,0,31,3,0,0,4,64,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/CertificatesJavaTest.java,okhttp3.tls.CertificatesJavaTest,class,1,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,2,1,2,0,0,0,0,33,1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest$Anonymous1,anonymous,1,7,1,2,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,3,0,0,0,2,0,0,0,1,0,0,0,15,-1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest$Anonymous2,anonymous,0,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest,class,16,44,1,73,268,0.0,0.0,25,0,25,0,0,0,25,0,0,0,6,3,2,4,0,0,4,0,25,282,0,0,0,19,2,11,20,40,2,44,1,2,0,4,164,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/publicsuffix/PublicSuffixListGenerator.java,okhttp3.internal.publicsuffix.PublicSuffixListGenerator,class,8,15,1,32,0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,5,5,0,5,0,0,5,0,2,69,0,4,3,4,0,32,9,24,8,21,3,0,0,0,141,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/publicsuffix/PublicSuffixDatabaseTest.java,okhttp3.internal.publicsuffix.PublicSuffixDatabaseTest,class,7,17,1,25,0,0.0,0.0,10,0,9,1,0,0,9,0,0,0,1,0,0,1,0,0,1,0,2,184,2,2,3,2,0,179,0,25,2,23,2,0,0,0,80,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/cache2/RelayTest.java,okhttp3.internal.cache2.RelayTest,class,13,16,1,30,0,0.0,0.0,12,0,9,2,0,1,10,0,0,0,4,0,0,3,0,1,0,0,3,164,2,1,3,1,0,36,41,38,0,39,2,0,0,1,76,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/cache2/FileOperatorTest.java,okhttp3.internal.cache2.FileOperatorTest,class,11,16,1,22,0,0.0,0.0,13,0,10,3,0,0,10,0,0,0,3,0,1,2,0,0,0,0,0,129,2,0,0,3,0,24,64,26,1,27,1,0,0,0,65,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/RecordingProxySelector.java,okhttp3.internal.http.RecordingProxySelector,class,0,4,2,8,4,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,3,0,0,0,3,0,0,20,2,0,0,0,0,2,0,4,0,4,0,0,0,0,28,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/StatusLineTest.java,okhttp3.internal.http.StatusLineTest,class,3,11,1,5,45,0.0,0.0,10,0,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,1,0,42,7,11,3,11,1,0,0,0,50,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/ExternalHttp2Example.java,okhttp3.internal.http.ExternalHttp2Example,class,4,2,1,16,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,1,1,2,0,4,1,4,2,0,0,0,19,17,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/ThreadInterruptTest.java,okhttp3.internal.http.ThreadInterruptTest$Anonymous3,anonymous,4,3,1,4,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,1,4,1,0,1,1,0,0,0,18,-1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/ThreadInterruptTest.java,okhttp3.internal.http.ThreadInterruptTest$Anonymous2,anonymous,0,1,1,2,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/ThreadInterruptTest.java,okhttp3.internal.http.ThreadInterruptTest$Anonymous1,anonymous,0,1,1,1,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-1,0
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/internal/http/ThreadInterruptTest.java,okhttp3.internal.http.ThreadInterruptTest,class,19,10,1,27,9,0.0,0.0,6,0,4,2,0,0,4,0,0,0,5,1,2,3,0,0,3,0,6,88,0,1,1,3,0,5,12,13,3,13,2,3,0,1,62,17,0
