file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,defaultCertificate/0,false,42,2,1,19,13,0,5,0,19,0,0,0,0,0,0,2,3,5,2,0,0,0,0,16,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,subjectAlternativeNames/0,false,87,2,1,7,5,0,2,0,7,0,0,0,0,0,0,4,0,2,0,0,0,0,0,14,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,ecdsaSignedByRsa/0,false,199,2,1,9,6,0,2,0,9,0,0,0,0,0,0,2,2,2,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,organizationalUnit/0,false,108,2,1,8,5,0,2,0,8,0,0,0,0,0,0,3,0,2,0,0,0,0,0,9,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeWrongType/0,false,454,1,2,4,9,0,0,0,4,0,0,0,0,1,0,8,0,0,1,1,0,0,0,35,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeEcdsa256/0,false,229,2,2,15,18,0,5,0,15,0,0,0,0,0,0,24,2,5,4,1,0,0,0,63,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeWrongNumber/0,false,407,1,5,4,32,0,2,0,4,0,0,0,0,4,0,20,0,2,4,1,0,0,0,58,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,customDuration/0,false,71,2,1,10,9,0,5,0,10,0,0,0,0,0,0,0,3,5,1,0,0,0,0,16,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,customInterval/0,false,61,2,1,8,6,0,2,0,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,13,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,commonName/0,false,99,2,1,7,5,0,2,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,9,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,pems/0,false,120,3,1,15,11,0,6,0,15,0,0,0,0,0,2,61,2,6,5,0,0,0,0,176,1,0,true
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeMalformed/0,false,469,1,5,5,20,0,0,0,5,0,0,0,0,2,0,24,0,0,2,2,0,0,0,49,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeRsa2048/0,false,329,2,1,14,12,0,4,0,14,0,0,0,0,0,0,51,2,4,3,0,0,0,0,185,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,decodeRsa512/0,false,286,2,1,8,9,0,4,0,8,0,0,0,0,0,0,21,0,4,3,0,0,0,0,69,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HeldCertificateTest.java,okhttp3.tls.HeldCertificateTest,rsaSignedByEcdsa/0,false,214,2,1,9,6,0,2,0,9,0,0,0,0,0,0,2,2,2,0,0,0,0,0,10,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,clientAndServer/0,false,64,5,1,17,21,0,13,0,17,3,1,0,0,0,0,0,4,13,0,0,0,0,0,23,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,"doClientHandshake/2[okhttp3.tls.HandshakeCertificates,java.net.InetSocketAddress]",false,184,2,2,13,19,2,2,2,13,0,0,0,1,1,0,0,0,3,0,3,0,0,1,14,2,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,startTlsServer/0,false,152,0,1,5,7,1,2,0,5,0,0,0,0,0,0,1,2,3,0,0,0,0,0,11,2,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,"assertPrivateKeysEquals/2[java.security.PrivateKey,java.security.PrivateKey]",false,203,0,1,4,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,getPlatform/0,false,208,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,9,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,platformTrustedCertificates/0,false,139,2,1,13,6,0,5,0,13,0,0,0,0,0,0,1,0,3,0,0,0,0,2,12,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,setUp/0,false,53,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,tearDown/0,false,57,1,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,keyManager/0,false,117,4,1,15,8,0,4,0,15,1,1,0,0,0,0,2,2,4,0,0,0,0,0,17,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/HandshakeCertificatesTest.java,okhttp3.tls.HandshakeCertificatesTest,doServerHandshake/1[okhttp3.tls.HandshakeCertificates],false,160,2,3,13,23,2,2,1,13,0,0,0,2,1,0,0,0,4,0,3,0,0,1,15,2,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/CertificatesJavaTest.java,okhttp3.tls.CertificatesJavaTest,testRoundtrip/0,false,25,1,1,3,5,0,2,0,3,0,0,0,0,0,0,12,0,2,1,0,0,0,0,30,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest$Anonymous1,contains/1[java.lang.Object],false,279,0,2,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest$Anonymous1,indexOf/1[java.lang.Object],false,284,0,2,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,false
/home/luana-martins/.jnose_projects/okhttp/okhttp/src/test/java/okhttp3/OkHttpClientTest.java,okhttp3.OkHttpClientTest$Anonymous1,size/0,false,294,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
