file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/message/SendMessageCommandTest.java,org.apache.rocketmq.tools.command.message.SendMessageCommandTest,class,12,3,1,24,1,0.0,0.0,3,2,3,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,5,34,0,0,0,0,0,16,1,12,2,10,0,0,0,0,49,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/message/ConsumeMessageCommandTest.java,org.apache.rocketmq.tools.command.message.ConsumeMessageCommandTest,class,14,6,1,28,0,0.0,0.0,6,2,6,0,0,0,6,0,0,0,1,1,0,1,0,0,0,0,18,81,0,0,0,0,0,23,5,35,4,35,0,0,0,0,59,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/message/QueryMsgTraceByIdSubCommandTest.java,org.apache.rocketmq.tools.command.message.QueryMsgTraceByIdSubCommandTest,class,15,3,1,15,1,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,0,0,4,31,0,0,0,0,0,7,1,11,1,9,0,0,0,0,43,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/message/QueryMsgByUniqueKeySubCommandTest.java,org.apache.rocketmq.tools.command.message.QueryMsgByUniqueKeySubCommandTest,class,26,5,1,74,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,6,6,0,6,0,0,0,0,14,140,0,0,0,0,0,46,14,48,3,42,0,0,0,0,99,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/namesrv/GetNamesrvConfigCommandTest.java,org.apache.rocketmq.tools.command.namesrv.GetNamesrvConfigCommandTest,class,14,3,1,19,1,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,0,0,3,33,0,0,0,0,0,4,1,13,1,11,0,0,0,0,46,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/namesrv/UpdateKvConfigCommandTest.java,org.apache.rocketmq.tools.command.namesrv.UpdateKvConfigCommandTest,class,15,3,1,15,1,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,0,0,3,30,0,0,0,0,0,7,1,11,1,9,0,0,0,0,42,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/namesrv/WipeWritePermSubCommandTest.java,org.apache.rocketmq.tools.command.namesrv.WipeWritePermSubCommandTest,class,15,3,1,22,1,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,0,0,3,35,0,0,0,0,0,7,2,12,1,10,0,0,0,0,45,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/TopicClusterSubCommandTest.java,org.apache.rocketmq.tools.command.topic.TopicClusterSubCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,3,0,4,1,4,0,0,0,0,19,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/UpdateOrderConfCommandTest.java,org.apache.rocketmq.tools.command.topic.UpdateOrderConfCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,7,0,4,1,4,0,0,0,0,21,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/UpdateTopicSubCommandTest.java,org.apache.rocketmq.tools.command.topic.UpdateTopicSubCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,17,0,4,1,4,0,0,0,0,26,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/AllocateMQSubCommandTest.java,org.apache.rocketmq.tools.command.topic.AllocateMQSubCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,6,0,4,1,4,0,0,0,0,21,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/TopicRouteSubCommandTest.java,org.apache.rocketmq.tools.command.topic.TopicRouteSubCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,3,0,4,1,4,0,0,0,0,19,1,0
/home/luana-martins/.jnose_projects/rocketmq/tools/src/test/java/org/apache/rocketmq/tools/command/topic/DeleteTopicSubCommandTest.java,org.apache.rocketmq.tools.command.topic.DeleteTopicSubCommandTest,class,6,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,6,0,4,1,4,0,0,0,0,20,1,0
