App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
rocketmq,SendMessageCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/message/SendMessageCommand.java,90,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,ConsumeMessageCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/message/ConsumeMessageCommand.java,156,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
rocketmq,QueryMsgTraceByIdSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/message/QueryMsgTraceByIdSubCommand.java,84,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rocketmq,QueryMsgByUniqueKeySubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/message/QueryMsgByUniqueKeySubCommand.java,245,11,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2
rocketmq,GetNamesrvConfigCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/namesrv/GetNamesrvConfigCommand.java,93,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,UpdateKvConfigCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/namesrv/UpdateKvConfigCommand.java,77,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rocketmq,WipeWritePermSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/namesrv/WipeWritePermSubCommand.java,93,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rocketmq,TopicClusterSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/topic/TopicClusterSubCommand.java,37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,UpdateOrderConfCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/topic/UpdateOrderConfCommand.java,39,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,UpdateTopicSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/topic/UpdateTopicSubCommand.java,52,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,AllocateMQSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/topic/AllocateMQSubCommand.java,38,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocketmq,TopicRouteSubCommandTest,/home/luana-martins/.jnose_projects/rocketmq/tools/src/main/java/org/apache/rocketmq/tools/command/topic/TopicRouteSubCommand.java,37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
