App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
RxJava,ObservableIntervalTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableInterval.java,53,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RxJava,ObservableDeferTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableDefer.java,80,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RxJava,ObservableFlatMapMaybeTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFlatMapMaybe.java,546,27,4,7,0,0,5,0,0,16,6,0,0,0,0,1,0,0,0,2,0,0,3
RxJava,ObservableElementAtTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableElementAt.java,304,28,8,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0
RxJava,ObservableDoAfterNextTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableDoAfterNext.java,281,21,15,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
RxJava,ObservableObserveOnTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableObserveOn.java,850,36,7,9,0,0,11,0,0,19,6,0,0,0,0,8,0,0,0,2,0,3,6
RxJava,ObservableMapNotificationTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableMapNotification.java,106,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
RxJava,ObservablePublishTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservablePublish.java,896,41,25,4,0,0,12,0,0,28,11,0,0,0,0,4,0,0,9,4,0,3,4
RxJava,ObservableFromCompletableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFromCompletable.java,207,11,9,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,1,1,0,0,0
RxJava,ObservableFlattenIterableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFlattenIterable.java,104,4,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
RxJava,ObservableGroupByTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableGroupBy.java,1744,62,43,6,0,2,6,0,0,38,5,0,0,0,0,17,0,0,0,0,0,7,5
RxJava,ObservableWithLatestFromTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableWithLatestFrom.java,602,27,24,9,0,0,3,0,0,7,3,0,0,0,1,3,0,0,6,1,0,0,3
RxJava,ObservableOnErrorReturnTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableOnErrorReturn.java,238,8,2,3,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,6
RxJava,ObservableSkipWhileTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableSkipWhile.java,159,13,0,7,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
RxJava,ObservableMergeWithCompletableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableMergeWithCompletable.java,185,10,8,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
RxJava,ObservableAmbTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableAmb.java,467,26,7,4,0,0,4,0,0,13,7,0,2,0,0,1,0,0,1,1,0,0,3
RxJava,ObservableTakeUntilTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntil.java,407,18,6,7,0,0,7,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,8
RxJava,ObservableMaterializeTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableMaterialize.java,195,8,21,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0
RxJava,ObservableTakeWhileTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeWhile.java,284,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RxJava,ObservableAutoConnectTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableAutoConnect.java,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RxJava,ObservableGenerateTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableGenerate.java,210,10,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
RxJava,ObservableConcatMapCompletableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/mixed/ObservableConcatMapCompletable.java,252,14,2,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,2,0,0,1
RxJava,ObservableSwitchIfEmptyTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableSwitchIfEmpty.java,110,4,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
RxJava,ObservableDebounceTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableDebounce.java,525,31,3,9,0,0,14,0,0,5,0,0,3,0,0,1,0,0,0,1,0,0,4
RxJava,ObservableDematerializeTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableDematerialize.java,238,14,0,8,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3
RxJava,ObservableFromCallableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFromCallable.java,311,13,3,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0
RxJava,ObservableFromIterableTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFromIterable.java,372,14,2,0,0,0,4,1,0,7,1,0,0,0,0,5,0,0,0,0,0,0,0
RxJava,ObservableBufferTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableBuffer.java,1818,95,29,37,0,0,35,0,0,23,3,0,3,0,0,10,0,0,3,3,0,0,9
RxJava,ObservableToListTest,/home/luana-martins/.jnose_projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableToList.java,261,19,2,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
