file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-hessian/src/test/java/io/seata/serializer/hessian/HessianSerializerTest.java,io.seata.serializer.hessian.HessianSerializerTest,class,10,3,1,27,0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,38,0,0,0,0,0,5,2,7,0,7,0,0,0,0,18,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-hessian/src/main/java/io/seata/serializer/hessian/HessianSerializerFactory.java,io.seata.serializer.hessian.HessianSerializerFactory,class,4,4,2,2,6,0.0,0.0,4,1,1,1,2,0,3,0,0,0,1,1,1,0,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-hessian/src/main/java/io/seata/serializer/hessian/HessianSerializer.java,io.seata.serializer.hessian.HessianSerializer,class,11,4,1,10,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,31,2,0,0,2,0,3,0,11,0,9,1,0,0,0,37,1,2
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/MergedWarpMessageSerializerTest.java,io.seata.serializer.seata.protocol.MergedWarpMessageSerializerTest,class,7,2,1,12,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,27,1,0,0,0,0,2,3,11,0,10,0,0,0,0,30,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/RegisterRMResponseSerializerTest.java,io.seata.serializer.seata.protocol.RegisterRMResponseSerializerTest,class,6,1,1,11,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,0,3,0,4,0,4,0,0,0,0,21,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/MergeResultMessageSerializerTest.java,io.seata.serializer.seata.protocol.MergeResultMessageSerializerTest,class,8,2,1,16,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,36,1,0,0,0,0,4,5,12,0,10,0,0,0,0,30,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/RegisterTMRequestSerializerTest.java,io.seata.serializer.seata.protocol.RegisterTMRequestSerializerTest,class,7,30,1,25,0,0.0,0.0,13,2,13,0,0,0,13,0,0,0,8,7,0,7,0,1,5,0,0,144,0,9,0,8,0,26,20,22,2,20,1,0,0,0,84,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/GlobalCommitRequestCodecTest.java,io.seata.serializer.seata.protocol.transaction.GlobalCommitRequestCodecTest,class,5,1,1,8,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,2,0,4,0,4,0,0,0,0,20,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/GlobalCommitResponseSerializerTest.java,io.seata.serializer.seata.protocol.transaction.GlobalCommitResponseSerializerTest,class,7,1,1,12,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,4,0,4,0,0,0,0,19,1,0
/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/BranchReportRequestSerializerTest.java,io.seata.serializer.seata.protocol.transaction.BranchReportRequestSerializerTest,class,4,1,1,16,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,3,1,4,0,4,0,0,0,0,19,1,0
