App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
seata,HessianSerializerTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-hessian/src/main/java/io/seata/serializer/hessian/HessianSerializer.java,85,4,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
seata,GlobalCommitRequestCodecTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalCommitRequestCodec.java,55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalRollbackRequestCodecTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalRollbackRequestCodec.java,52,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalStatusRequestCodecTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalStatusRequestCodec.java,51,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,FstSerializerTest,/home/luana-martins/.jnose_projects/seata/rm-datasource/src/main/java/io/seata/rm/datasource/undo/parser/spi/FstSerializer.java,85,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalBeginResponseConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/GlobalBeginResponseConvertor.java,50,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,BranchCommitResponseConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/BranchCommitResponseConvertor.java,54,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalRollbackRequestConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/GlobalRollbackRequestConvertor.java,44,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,RegisterTMResponseConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/RegisterTMResponseConvertor.java,50,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalCommitResponseConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/GlobalCommitResponseConvertor.java,48,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,BranchReportRequestConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/BranchReportRequestConvertor.java,55,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,RegisterRMRequestConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/RegisterRMRequestConvertor.java,50,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,BranchRegisterRequestConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/BranchRegisterRequestConvertor.java,52,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,MergeResultMessageConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/MergeResultMessageConvertor.java,59,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,HeartbeatMessageConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/HeartbeatMessageConvertor.java,38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,UndoLogDeleteRequestConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/UndoLogDeleteRequestConvertor.java,53,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seata,GlobalRollbackResponseConvertorTest,/home/luana-martins/.jnose_projects/seata/serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/GlobalRollbackResponseConvertor.java,50,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
