file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/SeleneseTestBase.java,com.thoughtworks.selenium.SeleneseTestBase,class,3,95,1,53,661,0.0,0.0,39,18,31,4,4,0,35,0,0,0,4,1,0,2,2,0,1,0,56,308,25,3,17,9,0,61,7,42,11,25,2,0,0,0,239,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/BrowserConfigurationOptions.java,com.thoughtworks.selenium.BrowserConfigurationOptions,class,1,28,1,19,103,0.0,0.0,23,0,15,1,7,0,22,0,0,0,10,9,9,1,0,0,9,0,3,104,22,0,4,0,2,13,2,13,2,13,1,0,0,1,150,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/SeleniumException.java,com.thoughtworks.selenium.SeleniumException,class,0,3,4,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/Wait.java,com.thoughtworks.selenium.Wait,class,2,9,4,4,9,0.0,0.0,6,0,6,0,0,0,6,1,0,0,2,2,2,0,0,0,2,0,3,45,1,1,0,1,0,0,2,4,1,4,2,0,1,0,85,1025,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/Wait.java,com.thoughtworks.selenium.Wait$WaitTimedOutException,innerclass,0,4,4,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,9,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/SeleniumLogLevels.java,com.thoughtworks.selenium.SeleniumLogLevels,class,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,21,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/DefaultRemoteCommand.java,com.thoughtworks.selenium.DefaultRemoteCommand,class,3,10,1,9,4,0.0,0.0,4,1,4,0,0,0,4,0,0,0,6,4,0,6,0,0,6,0,4,38,4,1,4,0,0,6,8,10,2,9,1,0,0,0,55,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/CommandProcessor.java,com.thoughtworks.selenium.CommandProcessor,interface,1,13,1,0,78,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/SeleneseTestCase.java,com.thoughtworks.selenium.SeleneseTestCase,class,4,36,2,41,136,0.0,0.0,32,8,28,0,4,0,32,0,0,0,2,0,0,1,1,0,0,0,9,128,7,0,1,2,0,6,0,6,4,3,3,0,0,0,184,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/JUnit4AndTestNgConditionRunner.java,com.thoughtworks.selenium.condition.JUnit4AndTestNgConditionRunner,class,3,7,2,1,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,32,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/Text.java,com.thoughtworks.selenium.condition.Text,class,3,5,2,4,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,18,2,0,2,0,1,3,0,2,2,2,1,0,0,0,24,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/DefaultConditionRunner.java,com.thoughtworks.selenium.condition.DefaultConditionRunner$Monitor,interface,2,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/DefaultConditionRunner.java,com.thoughtworks.selenium.condition.DefaultConditionRunner$ContextImpl,innerclass,6,11,1,7,24,0.0,0.0,8,0,5,3,0,0,5,0,0,0,3,0,0,3,0,0,1,0,1,37,6,0,0,0,0,6,0,6,4,4,1,0,0,0,24,18,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/DefaultConditionRunner.java,com.thoughtworks.selenium.condition.DefaultConditionRunner,class,9,16,1,13,7,0.0,0.0,10,0,7,1,2,0,9,0,0,0,5,0,0,5,0,0,5,0,1,137,1,1,1,3,0,5,3,10,3,8,4,0,4,0,81,1,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/DefaultConditionRunner.java,com.thoughtworks.selenium.condition.DefaultConditionRunner$NoOpMonitor,innerclass,3,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/DefaultConditionRunner.java,com.thoughtworks.selenium.condition.DefaultConditionRunner$Log4jMonitor,innerclass,5,4,1,5,6,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,1,0,1,0,0,1,0,1,15,0,0,0,0,0,3,0,1,3,1,0,0,0,0,18,25,1
/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/condition/Not.java,com.thoughtworks.selenium.condition.Not,class,2,2,2,2,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,2,0,1,1,1,0,0,0,0,26,1,0
