App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
selenium,BrowserConfigurationOptionsTest,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/BrowserConfigurationOptions.java,137,15,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
selenium,TestRefresh,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/webdriven/commands/Refresh.java,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
selenium,TestProxy,/home/luana-martins/.jnose_projects/selenium/java/client/src/org/openqa/selenium/Proxy.java,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
selenium,TestAddLocationStrategy,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/webdriven/commands/AddLocationStrategy.java,45,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
selenium,TestGoBack,/home/luana-martins/.jnose_projects/selenium/java/server/src/org/openqa/selenium/remote/server/handler/GoBack.java,49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selenium,TestCookie,/home/luana-martins/.jnose_projects/selenium/java/client/src/org/openqa/selenium/Cookie.java,73,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
selenium,TestUseXpathLibrary,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/webdriven/commands/UseXPathLibrary.java,45,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
selenium,TestAddSelection,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/webdriven/commands/AddSelection.java,56,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
selenium,TestOpen,/home/luana-martins/.jnose_projects/selenium/java/client/src/com/thoughtworks/selenium/webdriven/commands/Open.java,54,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selenium,TestWait,/home/luana-martins/.jnose_projects/selenium/java/client/src/org/openqa/selenium/support/ui/Wait.java,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
