file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/test/java/org/apache/shardingsphere/distsql/parser/api/DistSQLStatementParserEngineTest.java,org.apache.shardingsphere.distsql.parser.api.DistSQLStatementParserEngineTest,class,11,7,1,30,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,8,7,0,8,0,0,8,0,3,88,0,0,0,0,12,53,10,24,3,22,0,0,0,0,59,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/main/java/org/apache/shardingsphere/distsql/parser/core/DistSQLParser.java,org.apache.shardingsphere.distsql.parser.core.DistSQLParser,class,5,2,2,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/main/java/org/apache/shardingsphere/distsql/parser/core/DistSQLParserFactory.java,org.apache.shardingsphere.distsql.parser.core.DistSQLParserFactory,class,10,3,1,6,3,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,0,0,0,0,2,0,2,0,0,0,0,27,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/main/java/org/apache/shardingsphere/distsql/parser/core/DistSQLVisitor.java,org.apache.shardingsphere.distsql.parser.core.DistSQLVisitor,class,58,64,2,87,351,0.0,0.0,27,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,228,28,17,20,0,0,4,0,27,0,29,3,0,0,3,72,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-engine/src/main/java/org/apache/shardingsphere/distsql/parser/api/DistSQLStatementParserEngine.java,org.apache.shardingsphere.distsql.parser.api.DistSQLStatementParserEngine,class,12,6,1,10,3,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,0,2,1,2,0,2,0,2,2,0,0,0,40,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-statement/src/main/java/org/apache/shardingsphere/distsql/parser/statement/ral/RALStatement.java,org.apache.shardingsphere.distsql.parser.statement.ral.RALStatement,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-statement/src/main/java/org/apache/shardingsphere/distsql/parser/statement/ral/impl/ResetScalingJobStatement.java,org.apache.shardingsphere.distsql.parser.statement.ral.impl.ResetScalingJobStatement,class,3,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-statement/src/main/java/org/apache/shardingsphere/distsql/parser/statement/ral/impl/CheckScalingJobStatement.java,org.apache.shardingsphere.distsql.parser.statement.ral.impl.CheckScalingJobStatement,class,3,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-statement/src/main/java/org/apache/shardingsphere/distsql/parser/statement/ral/impl/DropScalingJobStatement.java,org.apache.shardingsphere.distsql.parser.statement.ral.impl.DropScalingJobStatement,class,3,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,17,0
/home/luana-martins/.jnose_projects/shardingsphere/shardingsphere-distsql-parser/shardingsphere-distsql-parser-statement/src/main/java/org/apache/shardingsphere/distsql/parser/statement/ral/impl/StopScalingJobStatement.java,org.apache.shardingsphere.distsql.parser.statement.ral.impl.StopScalingJobStatement,class,3,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,17,0
