file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpsClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpsClientInstrumentation,class,6,5,3,1,10,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,3,0,3,0,0,3,0,1,31,5,0,0,0,0,3,2,3,0,3,0,1,0,0,36,1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpsClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpsClientInstrumentation$Anonymous1,anonymous,3,3,1,4,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,3,4,0,0,0,0,0,0,0,30,-1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpClientInstrumentation$Anonymous3,anonymous,3,3,1,4,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,2,3,0,0,0,0,0,0,0,30,-1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpClientInstrumentation$Anonymous2,anonymous,2,3,1,4,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,2,0,0,0,0,0,0,0,31,-1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpClientInstrumentation$Anonymous1,anonymous,2,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/define/HttpClientInstrumentation.java,org.apache.skywalking.apm.plugin.jdk.http.define.HttpClientInstrumentation,class,7,5,3,1,10,0.0,0.0,5,0,4,0,1,0,5,0,0,0,7,7,0,7,0,0,7,0,1,57,5,0,0,0,0,7,1,7,0,7,0,3,0,0,41,1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/HttpClientParseHttpInterceptor.java,org.apache.skywalking.apm.plugin.jdk.http.HttpClientParseHttpInterceptor,class,9,8,1,11,6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,33,3,0,0,1,0,1,6,6,0,6,3,0,0,0,51,1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/HttpsClientNewInstanceInterceptor.java,org.apache.skywalking.apm.plugin.jdk.http.HttpsClientNewInstanceInterceptor,class,3,4,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,0,0,1,0,0,0,22,1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/HttpClientNewInstanceInterceptor.java,org.apache.skywalking.apm.plugin.jdk.http.HttpClientNewInstanceInterceptor,class,3,4,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,0,0,1,0,0,0,22,1,0
/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/bootstrap-plugins/jdk-http-plugin/src/main/java/org/apache/skywalking/apm/plugin/jdk/http/HttpClientWriteRequestInterceptor.java,org.apache.skywalking.apm.plugin.jdk.http.HttpClientWriteRequestInterceptor,class,12,8,1,22,10,0.0,0.0,5,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,35,4,1,0,0,0,2,2,9,1,8,1,0,0,0,42,1,0
