App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
skywalking,Play2xInstrumentationTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/play-2.x-plugin/src/main/java/org/apache/skywalking/apm/plugin/play/v2x/define/Play2xInstrumentation.java,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skywalking,TracingFilterTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/play-2.x-plugin/src/main/java/org/apache/skywalking/apm/plugin/play/v2x/TracingFilter.java,237,7,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
skywalking,HttpFiltersInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/play-2.x-plugin/src/main/java/org/apache/skywalking/apm/plugin/play/v2x/HttpFiltersInterceptor.java,93,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skywalking,MongoDBCollectionMethodInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/mongodb-2.x-plugin/src/main/java/org/apache/skywalking/apm/plugin/mongodb/v2/MongoDBCollectionMethodInterceptor.java,123,11,3,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
skywalking,KafkaConsumerInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/KafkaConsumerInterceptor.java,150,11,4,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2
skywalking,ConstructorWithConsumerConfigInterceptPointTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/ConstructorWithConsumerConfigInterceptPoint.java,76,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skywalking,AssignMethodInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/AssignMethodInterceptor.java,70,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skywalking,ProducerConstructorMapInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/ProducerConstructorMapInterceptor.java,90,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
skywalking,ProducerConstructorInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/pulsar-plugin/src/main/java/org/apache/skywalking/apm/plugin/pulsar/ProducerConstructorInterceptor.java,72,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
skywalking,ConstructorWithMapInterceptPointTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/ConstructorWithMapInterceptPoint.java,72,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skywalking,SubscribeMethodInterceptorTest,/home/luana-martins/.jnose_projects/skywalking/apm-sniffer/apm-sdk-plugin/kafka-plugin/src/main/java/org/apache/skywalking/apm/plugin/kafka/SubscribeMethodInterceptor.java,80,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
