file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-sample-api/src/main/java/com/alibaba/cloud/dubbo/service/UserService.java,com.alibaba.cloud.dubbo.service.UserService,interface,1,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-sample-api/src/main/java/com/alibaba/cloud/dubbo/service/EchoService.java,com.alibaba.cloud.dubbo.service.EchoService,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-sample-api/src/main/java/com/alibaba/cloud/dubbo/service/User.java,com.alibaba.cloud.dubbo.service.User,class,0,7,1,0,3,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,4,0,3,2,3,0,0,0,0,16,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-sample-api/src/main/java/com/alibaba/cloud/dubbo/service/RestService.java,com.alibaba.cloud.dubbo.service.RestService,interface,1,7,1,0,21,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-sample-api/src/main/java/com/alibaba/cloud/dubbo/util/LoggerUtils.java,com.alibaba.cloud.dubbo.util.LoggerUtils,class,2,3,1,8,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,9,0,0,1,0,0,2,0,2,0,2,1,0,0,0,12,1025,1
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-consumer-sample/src/main/java/com/alibaba/cloud/dubbo/bootstrap/DubboSpringCloudConsumerBootstrap.java,com.alibaba.cloud.dubbo.bootstrap.DubboSpringCloudConsumerBootstrap,class,22,11,1,33,29,0.0,0.0,11,1,5,6,0,0,5,0,0,0,6,0,0,6,0,0,0,0,0,83,3,0,0,0,0,36,10,2,4,10,1,0,2,2,49,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-consumer-sample/src/main/java/com/alibaba/cloud/dubbo/bootstrap/DubboSpringCloudConsumerBootstrap.java,com.alibaba.cloud.dubbo.bootstrap.DubboSpringCloudConsumerBootstrap$FeignRestService,interface,8,5,1,0,10,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,33,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-consumer-sample/src/main/java/com/alibaba/cloud/dubbo/bootstrap/DubboSpringCloudConsumerBootstrap.java,com.alibaba.cloud.dubbo.bootstrap.DubboSpringCloudConsumerBootstrap$DubboFeignRestService,interface,9,5,1,0,10,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,37,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-servlet-gateway-sample/src/main/java/com/alibaba/cloud/dubbo/bootstrap/DubboSpringCloudServletGatewayBootstrap.java,com.alibaba.cloud.dubbo.bootstrap.DubboSpringCloudServletGatewayBootstrap,class,6,1,1,2,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-servlet-gateway-sample/src/main/java/com/alibaba/cloud/dubbo/gateway/DubboGatewayServlet.java,com.alibaba.cloud.dubbo.gateway.DubboGatewayServlet,class,24,11,2,41,19,0.0,0.0,7,0,2,5,0,0,2,0,0,0,5,0,0,5,0,0,5,0,5,96,5,2,1,1,0,8,0,30,0,28,1,0,1,0,77,1,0
/home/luana-martins/.jnose_projects/spring-cloud-alibaba/spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-servlet-gateway-sample/src/main/java/com/alibaba/cloud/dubbo/gateway/DubboGatewayServlet.java,com.alibaba.cloud.dubbo.gateway.DubboGatewayServlet$HttpRequestAdapter,innerclass,3,5,1,5,0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,21,3,0,0,1,0,1,0,1,1,1,1,0,0,0,16,26,0
