App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
spring-boot,RandomValuePropertySourceEnvironmentPostProcessorTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/RandomValuePropertySourceEnvironmentPostProcessor.java,51,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,ConfigTreePropertySourceTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/ConfigTreePropertySource.java,289,31,33,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,6
spring-boot,OriginTrackedMapPropertySourceTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/OriginTrackedMapPropertySource.java,78,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
spring-boot,OriginTrackedPropertiesLoaderTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/OriginTrackedPropertiesLoader.java,317,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spring-boot,SpringApplicationJsonEnvironmentPostProcessorTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/SpringApplicationJsonEnvironmentPostProcessor.java,220,21,29,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1
spring-boot,YamlPropertySourceLoaderTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/YamlPropertySourceLoader.java,100,6,9,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1
spring-boot,EnvironmentPostProcessorApplicationListenerTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/EnvironmentPostProcessorApplicationListener.java,133,13,8,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
spring-boot,EnvironmentPostProcessorsFactoryTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/EnvironmentPostProcessorsFactory.java,81,6,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
spring-boot,SystemEnvironmentPropertySourceEnvironmentPostProcessorTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/SystemEnvironmentPropertySourceEnvironmentPostProcessor.java,90,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
spring-boot,OriginTrackedYamlLoaderTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/OriginTrackedYamlLoader.java,187,16,36,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,1
spring-boot,PropertiesPropertySourceLoaderTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/PropertiesPropertySourceLoader.java,92,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spring-boot,RandomValuePropertySourceTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/RandomValuePropertySource.java,143,14,17,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
spring-boot,ReflectionEnvironmentPostProcessorsFactoryTests,/home/luana-martins/.jnose_projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/env/ReflectionEnvironmentPostProcessorsFactory.java,182,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
