App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
spring-framework,CompositeDatabasePopulatorTests,/home/luana-martins/.jnose_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/CompositeDatabasePopulator.java,113,9,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
spring-framework,TransportTypeTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/TransportType.java,38,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-framework,DefaultSockJsServiceTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/handler/DefaultSockJsService.java,337,28,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6
spring-framework,SockJsWebSocketHandlerTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/handler/SockJsWebSocketHandler.java,67,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
spring-framework,SockJsSessionTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/SockJsSession.java,306,20,23,0,0,3,6,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
spring-framework,WebSocketServerSockJsSessionTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/session/WebSocketServerSockJsSession.java,170,12,9,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
spring-framework,SockJsServiceTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/SockJsService.java,314,19,36,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0
spring-framework,SockJsFrameTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/frame/SockJsFrame.java,98,6,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4
spring-framework,XhrTransportTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/XhrTransport.java,152,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
spring-framework,DefaultTransportRequestTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/DefaultTransportRequest.java,131,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
spring-framework,SockJsClientTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/SockJsClient.java,190,17,19,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1
spring-framework,RestTemplateXhrTransportTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/RestTemplateXhrTransport.java,229,13,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring-framework,SockJsUrlInfoTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/SockJsUrlInfo.java,82,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spring-framework,HandlersBeanDefinitionParserTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/HandlersBeanDefinitionParser.java,365,7,56,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,12,0,0,0,0
spring-framework,WebMvcStompWebSocketEndpointRegistrationTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/annotation/WebMvcStompWebSocketEndpointRegistration.java,290,13,60,10,0,0,0,0,0,4,0,0,0,0,0,1,0,0,7,0,0,0,6
spring-framework,WebSocketMessageBrokerConfigurationSupportTests,/home/luana-martins/.jnose_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/annotation/WebSocketMessageBrokerConfigurationSupport.java,315,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
