file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java,org.togglz.cassandra.CassandraStateRepositoryTest$TestFeature,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java,org.togglz.cassandra.CassandraStateRepositoryTest,class,10,8,2,22,8,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,2,56,1,0,0,0,0,8,2,13,0,11,0,0,1,0,55,1,0
/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/KeyspaceBuilder.java,org.togglz.cassandra.KeyspaceBuilder,class,6,4,1,14,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,2,0,1,29,3,0,0,0,0,2,1,7,0,5,0,1,0,0,53,1,0
/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/KeyspaceBuilder.java,org.togglz.cassandra.KeyspaceBuilder$Anonymous1,anonymous,0,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java,org.togglz.cassandra.CassandraStateRepository$Builder,innerclass,6,5,1,2,10,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,1,0,1,24,4,0,0,0,0,0,0,7,0,4,0,0,0,0,46,9,0
/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java,org.togglz.cassandra.CassandraStateRepository,class,13,19,1,35,0,0.0,0.0,8,1,4,4,0,0,4,0,0,0,7,4,0,7,0,0,7,0,0,106,3,1,4,3,0,10,0,17,0,17,2,0,1,0,120,1,0
/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/test/java/org/togglz/spring/boot/actuate/BaseTest.java,org.togglz.spring.boot.actuate.BaseTest$ActivationStrategyConfig,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0
/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/test/java/org/togglz/spring/boot/actuate/BaseTest.java,org.togglz.spring.boot.actuate.BaseTest$DispatcherServletPathConfig,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,12,0
/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/test/java/org/togglz/spring/boot/actuate/BaseTest.java,org.togglz.spring.boot.actuate.BaseTest$FeatureProviderConfig,innerclass,5,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,12,0
/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/test/java/org/togglz/spring/boot/actuate/BaseTest.java,org.togglz.spring.boot.actuate.BaseTest,class,10,1,1,4,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,36,1,0,0,0,0,2,0,1,0,1,0,0,5,0,24,1,0
