App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
togglz,CassandraStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java,118,10,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
togglz,TogglzManagementContextConfigurationTest,/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/main/java/org/togglz/spring/boot/actuate/autoconfigure/TogglzManagementContextConfiguration.java,72,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,TogglzEndpointTest,/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/main/java/org/togglz/spring/boot/actuate/TogglzEndpoint.java,145,5,15,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1
togglz,TogglzDialectTest,/home/luana-martins/.jnose_projects/togglz/spring-boot/starter/src/main/java/org/togglz/spring/boot/actuate/thymeleaf/TogglzDialect.java,59,7,10,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
togglz,RedisStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/redis/src/main/java/org/togglz/redis/RedisStateRepository.java,105,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
togglz,MicroProfileConfigActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/microprofile-config/src/main/java/org/togglz/microprofile/activation/MicroProfileConfigActivationStrategy.java,96,9,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
togglz,EnumFeatureMetaDataTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/metadata/enums/EnumFeatureMetaData.java,96,8,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,AnnotationFeatureGroupTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/metadata/enums/AnnotationFeatureGroup.java,65,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,InMemoryStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/mem/InMemoryStateRepository.java,62,7,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2
togglz,FileBasedStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/file/FileBasedStateRepository.java,310,11,42,8,8,0,0,0,0,10,0,0,0,0,0,2,0,8,1,8,0,0,3
togglz,JDBCStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/jdbc/JDBCStateRepository.java,254,14,27,2,0,0,0,0,0,6,0,0,0,7,0,1,0,0,1,0,0,0,7
togglz,SchemaUpdaterTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/jdbc/SchemaUpdater.java,182,8,24,4,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,4,0,0,4
togglz,ListenableStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/listener/ListenableStateRepository.java,80,8,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,FeatureStateTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/FeatureState.java,56,3,14,2,0,0,0,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,4
togglz,DefaultMapSerializerTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/util/DefaultMapSerializer.java,144,7,26,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4
togglz,CachingStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/cache/CachingStateRepository.java,142,10,6,5,0,6,0,0,0,0,7,0,0,5,0,0,0,0,1,0,0,0,2
togglz,CompositeStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/composite/CompositeStateRepository.java,85,12,9,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
togglz,LoggingStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/logging/LoggingStateRepository.java,78,7,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
togglz,ThreadLocalFeatureManagerProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/context/ThreadLocalFeatureManagerProvider.java,60,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,SingleUserProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/user/SingleUserProvider.java,19,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,StringsTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/Strings.java,89,7,42,1,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,1
togglz,ClassUtilsTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/ClassUtils.java,16,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
togglz,NamedFeatureTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/NamedFeature.java,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
togglz,FeatureMapTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/FeatureMap.java,86,5,10,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,FeatureAnnotationsTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/FeatureAnnotations.java,100,11,14,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2
togglz,FeatureStateTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/repository/FeatureState.java,57,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
togglz,WeightedTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/util/Weighted.java,54,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,EnumBasedFeatureProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/manager/EnumBasedFeatureProvider.java,214,23,21,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
togglz,DefaultFeatureManagerTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/manager/DefaultFeatureManager.java,184,13,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
togglz,FeatureManagerBuilderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/manager/FeatureManagerBuilder.java,87,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
togglz,CompositeFeatureProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/manager/CompositeFeatureProvider.java,29,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,PropertyFeatureProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/manager/PropertyFeatureProvider.java,200,9,36,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
togglz,ParameterBuilderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/ParameterBuilder.java,83,6,37,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8
togglz,GradualActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/GradualActivationStrategy.java,143,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
togglz,UsernameActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/UsernameActivationStrategy.java,86,7,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,DefaultActivationStrategyProviderTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/DefaultActivationStrategyProvider.java,111,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,UserRoleActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/UserRoleActivationStrategy.java,134,15,14,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
togglz,SystemPropertyActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/core/src/main/java/org/togglz/core/activation/SystemPropertyActivationStrategy.java,93,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,MongoStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/mongodb/src/main/java/org/togglz/mongodb/MongoStateRepository.java,86,6,11,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
togglz,SpringSecurityUserProviderTest,/home/luana-martins/.jnose_projects/togglz/spring-security/src/main/java/org/togglz/spring/security/SpringSecurityUserProvider.java,105,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,MemcacheStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/appengine/src/main/java/org/togglz/appengine/repository/MemcacheStateRepository.java,132,10,10,4,0,5,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,2
togglz,FixedNamespaceStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/appengine/src/main/java/org/togglz/appengine/repository/FixedNamespaceStateRepository.java,174,16,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
togglz,DatastoreStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/appengine/src/main/java/org/togglz/appengine/repository/DatastoreStateRepository.java,265,18,29,5,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,4
togglz,UserServiceUserProviderTest,/home/luana-martins/.jnose_projects/togglz/appengine/src/main/java/org/togglz/appengine/user/UserServiceUserProvider.java,75,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,ApplicationVersionActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/appengine/src/main/java/org/togglz/appengine/activation/ApplicationVersionActivationStrategy.java,89,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,HttpServletRequestHolderFilterTest,/home/luana-martins/.jnose_projects/togglz/spring-web/src/main/java/org/togglz/spring/web/spi/HttpServletRequestHolderFilter.java,77,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,DeltaSpikeProjectStageActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/deltaspike/src/main/java/org/togglz/deltaspike/activation/DeltaSpikeProjectStageActivationStrategy.java,138,20,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
togglz,DeltaSpikePropertyActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/deltaspike/src/main/java/org/togglz/deltaspike/activation/DeltaSpikePropertyActivationStrategy.java,103,10,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
togglz,HttpServletRequestHolderTest,/home/luana-martins/.jnose_projects/togglz/servlet/src/main/java/org/togglz/servlet/util/HttpServletRequestHolder.java,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
togglz,HeaderActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/servlet/src/main/java/org/togglz/servlet/activation/HeaderActivationStrategy.java,94,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
togglz,ServerNameActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/servlet/src/main/java/org/togglz/servlet/activation/ServerNameActivationStrategy.java,82,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
togglz,QueryParameterActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/servlet/src/main/java/org/togglz/servlet/activation/QueryParameterActivationStrategy.java,236,22,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
togglz,S3StateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/amazon-s3/src/main/java/org/togglz/s3/S3StateRepository.java,154,6,12,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4
togglz,ApplicationEventPublisherRepositoryTest,/home/luana-martins/.jnose_projects/togglz/spring-core/src/main/java/org/togglz/spring/repository/ApplicationEventPublisherRepository.java,85,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,TogglzApplicationContextBinderApplicationListenerTest,/home/luana-martins/.jnose_projects/togglz/spring-core/src/main/java/org/togglz/spring/listener/TogglzApplicationContextBinderApplicationListener.java,108,9,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
togglz,SpringProfileActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/spring-core/src/main/java/org/togglz/spring/activation/SpringProfileActivationStrategy.java,160,16,10,1,0,0,1,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,2
togglz,SpringEnvironmentPropertyActivationStrategyTest,/home/luana-martins/.jnose_projects/togglz/spring-core/src/main/java/org/togglz/spring/activation/SpringEnvironmentPropertyActivationStrategy.java,123,12,15,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,0,1
togglz,HazelcastStateRepositoryTest,/home/luana-martins/.jnose_projects/togglz/hazelcast/src/main/java/org/togglz/hazelcast/HazelcastStateRepository.java,84,7,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6
togglz,TestFeatureManagerTest,/home/luana-martins/.jnose_projects/togglz/testing/src/main/java/org/togglz/testing/TestFeatureManager.java,78,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
togglz,FeatureVariationTogglzExtensionTest,/home/luana-martins/.jnose_projects/togglz/junit/src/main/java/org/togglz/junit5/FeatureVariationTogglzExtension.java,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
togglz,AnnotationBasedTogglzExtensionTest,/home/luana-martins/.jnose_projects/togglz/junit/src/main/java/org/togglz/junit5/AnnotationBasedTogglzExtension.java,108,9,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
